gene	mean	median	longest_isoform	merged
ENSG00000285268.1	114	114	114	114
ENSG00000230092.8	238	238	238	238
ENSG00000177757.3	1960	1960	1960	1960
ENSG00000228794.13	3548	2933	8389	15984
ENSG00000297178.1	1689	1689	1689	1689
ENSG00000297224.1	980	980	980	980
ENSG00000230368.3	1411	1411	1628	2034
ENSG00000234711.1	1058	1058	1058	1058
ENSG00000283040.1	837	837	837	837
ENSG00000296088.1	517	517	657	759
ENSG00000272438.2	2073	1718	3043	7542
ENSG00000298603.1	417	417	417	417
ENSG00000223764.3	1108	1017	1581	4541
ENSG00000187634.13	3163	3465	3468	3586
ENSG00000188976.11	2757	2757	2757	2757
ENSG00000187961.15	2567	2567	2567	2567
ENSG00000187583.11	2608	2455	3176	3332
ENSG00000187642.10	3016	3035	3520	3544
ENSG00000303599.1	444	444	540	742
ENSG00000272512.1	2086	2086	2086	2086
ENSG00000188290.11	864	885	1040	1040
ENSG00000303623.1	354	354	354	354
ENSG00000187608.10	712	712	787	867
ENSG00000303614.1	555	555	555	555
ENSG00000231702.2	154	154	154	154
ENSG00000224969.1	471	471	471	471
ENSG00000188157.16	7377	7394	7411	7996
ENSG00000242590.1	402	402	402	402
ENSG00000291156.2	1087	1087	1152	1478
ENSG00000273443.2	992	992	1156	1694
ENSG00000217801.13	1219	1219	1219	1219
ENSG00000304119.1	525	525	655	910
ENSG00000304169.1	698	698	698	698
ENSG00000237330.3	1900	1900	1900	1900
ENSG00000131591.18	1920	2078	2429	3105
ENSG00000285812.1	1095	1095	1095	1095
ENSG00000299943.1	1654	1654	1654	1654
ENSG00000223823.1	1620	1620	1620	1620
ENSG00000304965.1	850	850	850	850
ENSG00000207730.3	95	95	95	95
ENSG00000207607.3	90	90	90	90
ENSG00000198976.1	83	83	83	83
ENSG00000272141.1	987	987	987	987
ENSG00000205231.1	3532	3532	3532	3532
ENSG00000162571.14	2236	2288	2307	3178
ENSG00000186891.14	841	789	1083	1271
ENSG00000186827.12	1028	1075	1184	1406
ENSG00000304412.1	499	499	499	499
ENSG00000078808.20	2006	2006	2079	2079
ENSG00000176022.7	2805	2805	2805	2805
ENSG00000184163.3	1036	1036	1036	1036
ENSG00000260179.1	1558	1558	1558	1558
ENSG00000160087.21	1554	1057	2387	2605
ENSG00000230415.2	706	706	1144	1335
ENSG00000162572.21	2983	2890	3475	3859
ENSG00000131584.19	3036	3036	3793	3793
ENSG00000278073.1	61	61	61	61
ENSG00000169972.13	1257	1257	1257	1257
ENSG00000127054.22	1923	1862	2629	3430
ENSG00000283712.1	65	65	65	65
ENSG00000240731.1	386	386	386	386
ENSG00000224051.7	2154	2154	2154	2154
ENSG00000169962.5	3475	3475	3475	3475
ENSG00000107404.21	3115	3115	3305	3307
ENSG00000284372.1	59	59	59	59
ENSG00000304860.1	529	529	548	747
ENSG00000162576.17	2313	2262	2728	3088
ENSG00000175756.14	874	836	1072	1122
ENSG00000223663.2	367	367	367	367
ENSG00000221978.13	2149	2149	3112	3628
ENSG00000224870.10	1916	1916	1916	1916
ENSG00000242485.6	874	874	1049	1400
ENSG00000264293.2	293	293	293	293
ENSG00000301639.1	475	475	475	475
ENSG00000272455.1	1523	1523	1523	1523
ENSG00000235098.9	1602	1632	2024	2644
ENSG00000225905.2	722	722	902	1222
ENSG00000205116.4	3217	3217	3217	3217
ENSG00000225285.2	1674	1464	2301	2910
ENSG00000179403.12	3319	3319	4492	4659
ENSG00000215915.10	3864	3864	3864	3864
ENSG00000160072.20	3106	3106	4098	4098
ENSG00000290916.2	722	722	745	1183
ENSG00000284740.3	227	227	227	227
ENSG00000197785.14	2474	2481	2612	2786
ENSG00000205090.10	1088	1088	1381	2009
ENSG00000299413.1	519	519	519	519
ENSG00000160075.12	2730	2730	4176	5209
ENSG00000215014.5	841	841	841	841
ENSG00000274481.1	400	400	400	400
ENSG00000228594.4	2124	2124	2124	2124
ENSG00000286989.2	1354	1354	1830	2028
ENSG00000272106.1	2038	2038	2038	2038
ENSG00000197530.13	3136	3206	3311	3798
ENSG00000189409.14	1278	1278	1309	1315
ENSG00000248333.9	2607	2515	2992	3490
ENSG00000272004.2	803	803	1035	1185
ENSG00000189339.12	4846	5948	6434	7017
ENSG00000293187.1	1422	1422	1422	1422
ENSG00000269737.3	502	502	502	502
ENSG00000310190.1	1370	1471	1899	2231
ENSG00000310238.1	1092	1092	1092	1092
ENSG00000215914.4	1017	1017	1017	1017
ENSG00000008128.23	2564	2452	2984	3170
ENSG00000268575.1	5079	5079	5079	5079
ENSG00000293188.2	1340	1209	1808	3571
ENSG00000290854.2	1591	1514	2078	3264
ENSG00000215790.9	732	732	732	732
ENSG00000227775.4	497	497	497	497
ENSG00000008130.15	3328	3235	3653	3880
ENSG00000302550.1	459	459	473	841
ENSG00000078369.19	2835	3008	3484	5360
ENSG00000231050.4	807	724	1140	1140
ENSG00000303984.1	355	355	355	355
ENSG00000294910.1	547	547	547	547
ENSG00000306476.1	331	331	331	331
ENSG00000169885.10	670	670	670	670
ENSG00000178821.13	1026	1026	1118	1302
ENSG00000142609.20	5301	5301	5355	5412
ENSG00000233542.3	1806	1806	2283	2283
ENSG00000187730.9	1734	1695	1914	2218
ENSG00000304958.1	951	951	951	951
ENSG00000226969.2	641	641	846	846
ENSG00000067606.17	2339	2339	2385	2853
ENSG00000308181.1	922	922	1139	1145
ENSG00000271806.1	4196	4196	4196	4196
ENSG00000182873.5	937	937	1253	1734
ENSG00000162585.17	1070	1070	1413	1783
ENSG00000304038.1	790	790	790	790
ENSG00000234396.3	326	326	326	326
ENSG00000304143.1	711	711	711	711
ENSG00000157933.11	6083	6083	6083	6083
ENSG00000295493.1	224	224	224	224
ENSG00000287356.2	2513	1673	5675	6661
ENSG00000116151.14	1572	1572	1645	2088
ENSG00000272161.1	493	493	493	493
ENSG00000292993.1	2407	2407	2407	2407
ENSG00000269896.3	214	214	214	214
ENSG00000272420.1	568	568	568	568
ENSG00000295371.1	504	504	504	504
ENSG00000157916.20	2084	2469	3028	4989
ENSG00000157911.11	2560	2835	2905	2905
ENSG00000149527.18	5052	4870	5450	5881
ENSG00000224387.1	455	455	455	455
ENSG00000229393.1	514	514	514	514
ENSG00000157881.16	2582	2582	2641	2641
ENSG00000197921.6	1324	1324	1324	1324
ENSG00000272449.4	1531	1531	1531	1531
ENSG00000238164.7	2065	1497	3624	7721
ENSG00000307979.1	1640	1640	1640	1640
ENSG00000157873.18	1299	1299	1702	1921
ENSG00000225931.3	1297	1297	1297	1297
ENSG00000307958.1	1339	1339	1339	1339
ENSG00000228037.2	1500	1500	1500	1500
ENSG00000289610.3	694	694	694	694
ENSG00000157870.17	2464	2718	2827	2828
ENSG00000142606.16	2411	2411	2879	2879
ENSG00000237058.2	869	869	950	1471
ENSG00000215912.13	4777	4777	7780	7780
ENSG00000285945.1	593	593	593	593
ENSG00000283259.1	1565	1565	1565	1565
ENSG00000233234.1	607	607	607	607
ENSG00000287396.2	721	721	721	721
ENSG00000231630.1	429	429	429	429
ENSG00000302855.1	774	774	774	774
ENSG00000295089.1	503	503	503	503
ENSG00000300015.1	523	523	523	523
ENSG00000284745.2	2120	2120	2120	2120
ENSG00000169717.7	1437	1437	1437	1437
ENSG00000177133.15	1589	997	4247	5141
ENSG00000142611.17	5665	4864	8698	8736
ENSG00000283572.1	61	61	61	61
ENSG00000226286.1	469	469	469	469
ENSG00000306427.1	649	649	649	649
ENSG00000279839.1	2677	2677	2677	2677
ENSG00000306439.1	655	655	655	655
ENSG00000272235.1	3461	3461	3461	3461
ENSG00000287828.2	900	900	1014	1014
ENSG00000286518.1	2784	2784	2784	2784
ENSG00000295754.1	730	730	730	730
ENSG00000297626.1	744	744	744	744
ENSG00000130762.15	2417	2219	2822	3162
ENSG00000272088.1	382	382	382	382
ENSG00000162591.17	6333	7056	7443	7812
ENSG00000207776.1	96	96	96	96
ENSG00000309127.1	381	381	381	381
ENSG00000238260.4	979	965	1341	1722
ENSG00000158109.15	2295	2295	2401	2401
ENSG00000116213.16	1845	1845	1998	2043
ENSG00000078900.16	3374	2140	5200	5772
ENSG00000227589.1	754	754	754	754
ENSG00000235131.1	351	351	351	351
ENSG00000293478.2	3422	3734	4601	6427
ENSG00000276189.1	161	161	161	161
ENSG00000227372.13	1455	1455	1455	1455
ENSG00000162592.10	2125	2125	2125	2125
ENSG00000296834.1	657	657	657	657
ENSG00000235169.11	520	509	547	772
ENSG00000130764.10	4303	4303	4303	4303
ENSG00000266075.2	297	297	297	297
ENSG00000272153.1	531	531	531	531
ENSG00000116198.14	4894	5779	6559	7603
ENSG00000169598.17	2195	2833	3105	3185
ENSG00000198912.12	1574	1567	1645	2140
ENSG00000236423.9	1806	1966	2057	4135
ENSG00000233304.8	2350	2350	3242	4700
ENSG00000226374.4	1449	1449	1646	2168
ENSG00000284668.3	840	758	1259	3079
ENSG00000284703.2	3146	3146	5152	5152
ENSG00000296871.1	1490	1490	1490	1490
ENSG00000308587.1	673	673	915	916
ENSG00000229280.1	372	372	372	372
ENSG00000301255.1	439	439	439	439
ENSG00000299169.1	1807	1807	1807	1807
ENSG00000302287.1	547	547	547	547
ENSG00000235054.5	2077	2077	2077	2077
ENSG00000306535.1	1051	1051	1051	1051
ENSG00000284694.1	3402	3402	3402	3402
ENSG00000299517.1	976	976	976	976
ENSG00000227169.2	356	356	356	356
ENSG00000295490.1	401	401	401	401
ENSG00000232596.3	1034	963	1531	3026
ENSG00000300565.1	1110	1110	1279	1739
ENSG00000303830.1	1329	1329	1329	1329
ENSG00000196581.11	7242	7242	12102	12496
ENSG00000287586.1	3030	3030	3030	3030
ENSG00000284739.2	611	611	611	611
ENSG00000284674.1	1580	1580	1580	1580
ENSG00000309102.1	411	411	411	411
ENSG00000309111.1	733	733	733	733
ENSG00000231510.1	449	449	449	449
ENSG00000296716.1	835	835	835	835
ENSG00000302269.1	1290	1290	1290	1290
ENSG00000306645.1	612	612	612	612
ENSG00000284616.1	1225	1225	1225	1225
ENSG00000302445.1	2516	2516	2516	2516
ENSG00000302452.1	855	855	855	855
ENSG00000295735.1	720	720	720	720
ENSG00000284692.3	1286	830	2210	2210
ENSG00000284666.1	609	609	609	609
ENSG00000260972.1	1697	1697	1697	1697
ENSG00000299325.1	432	432	432	432
ENSG00000283356.1	135	135	135	135
ENSG00000289893.2	1218	1248	1606	4474
ENSG00000264341.1	73	73	73	73
ENSG00000295108.1	1070	1070	1070	1070
ENSG00000295122.1	790	790	1061	1486
ENSG00000298180.1	360	360	360	360
ENSG00000264101.1	70	70	70	70
ENSG00000131697.18	3979	3979	4955	5131
ENSG00000299539.1	348	348	348	348
ENSG00000069424.16	2676	2958	4302	9724
ENSG00000116254.18	9850	9850	9850	9850
ENSG00000285629.1	663	663	663	663
ENSG00000116251.11	1423	1423	2061	2415
ENSG00000226944.2	752	752	865	867
ENSG00000158286.13	3981	3981	3981	3981
ENSG00000116237.16	4795	4795	4795	4795
ENSG00000225077.4	1699	1699	1699	1699
ENSG00000173673.9	710	710	710	710
ENSG00000158292.7	4198	4198	4198	4198
ENSG00000097021.21	1613	1614	1813	2786
ENSG00000271746.1	837	837	837	837
ENSG00000069812.11	1537	968	4262	5407
ENSG00000187017.18	3204	3543	4731	5856
ENSG00000265392.1	63	63	63	63
ENSG00000231868.1	351	351	351	351
ENSG00000215788.11	1373	1441	1968	1997
ENSG00000171680.23	3612	3689	4191	5237
ENSG00000297749.1	288	288	288	288
ENSG00000299237.1	689	689	689	689
ENSG00000299253.1	482	482	482	482
ENSG00000162408.11	6627	6627	6627	6627
ENSG00000253022.1	111	111	111	111
ENSG00000229519.2	401	401	401	401
ENSG00000173662.21	2317	2317	2764	2764
ENSG00000204859.13	2347	2347	2347	2347
ENSG00000162413.17	3163	2771	6445	6603
ENSG00000295286.1	858	858	858	858
ENSG00000304810.1	163	163	163	163
ENSG00000116273.6	3632	3632	3632	3632
ENSG00000041988.16	1486	1361	2053	2949
ENSG00000007923.17	2705	2705	3201	3309
ENSG00000228750.8	1192	1192	1686	2170
ENSG00000284744.1	987	987	987	987
ENSG00000237436.2	487	487	559	745
ENSG00000171735.21	3729	3691	8314	13533
ENSG00000227950.1	286	286	286	286
ENSG00000237365.1	349	349	349	349
ENSG00000207056.1	165	165	165	165
ENSG00000310450.1	639	639	639	639
ENSG00000237402.2	373	365	423	740
ENSG00000237728.3	799	799	930	1349
ENSG00000294314.1	451	451	451	451
ENSG00000225126.2	678	678	678	678
ENSG00000298973.1	636	636	636	636
ENSG00000306883.1	499	499	499	499
ENSG00000302704.1	326	326	326	326
ENSG00000270171.1	1721	1721	1721	1721
ENSG00000270035.1	570	570	570	570
ENSG00000269978.2	573	573	573	573
ENSG00000300603.1	448	448	448	448
ENSG00000049245.13	1566	1566	2178	2670
ENSG00000269925.1	393	393	393	393
ENSG00000049246.15	5334	6261	6365	6515
ENSG00000236266.2	885	885	940	1544
ENSG00000049247.14	870	591	1601	1793
ENSG00000302605.1	318	318	318	318
ENSG00000049249.10	5872	5872	5872	5872
ENSG00000270330.1	355	355	355	355
ENSG00000116288.13	954	977	1127	1354
ENSG00000299004.1	991	991	991	991
ENSG00000200344.1	103	103	103	103
ENSG00000284747.1	2168	2168	2236	4116
ENSG00000284716.1	1043	1043	1043	1043
ENSG00000116285.13	1667	1546	3097	4163
ENSG00000238290.2	1238	1153	2077	5245
ENSG00000232848.1	800	800	800	800
ENSG00000301325.1	807	807	950	1550
ENSG00000227634.4	1095	1019	1815	4440
ENSG00000229305.1	1075	1075	1075	1075
ENSG00000301344.1	527	527	527	527
ENSG00000200975.1	164	164	164	164
ENSG00000233645.1	477	477	477	477
ENSG00000298156.1	630	630	630	630
ENSG00000301025.1	540	540	540	540
ENSG00000301006.1	595	625	787	1488
ENSG00000251977.1	107	107	107	107
ENSG00000162426.16	2448	2448	2496	2498
ENSG00000252254.1	113	113	113	113
ENSG00000142599.20	5090	5496	8026	10348
ENSG00000232912.6	1052	1052	1052	1052
ENSG00000221083.1	125	125	125	125
ENSG00000270282.1	369	369	369	369
ENSG00000234619.1	658	658	658	658
ENSG00000224315.2	703	703	703	703
ENSG00000303676.1	579	579	579	579
ENSG00000222511.2	103	103	103	103
ENSG00000226545.1	415	415	415	415
ENSG00000228423.2	353	353	353	353
ENSG00000229716.2	369	369	369	369
ENSG00000074800.16	1781	1781	1782	1843
ENSG00000274258.1	89	89	89	89
ENSG00000230679.2	757	757	757	757
ENSG00000201725.1	107	107	107	107
ENSG00000238249.2	743	743	743	743
ENSG00000310107.1	1491	1491	1491	1491
ENSG00000232208.2	352	352	352	352
ENSG00000232663.2	163	163	163	163
ENSG00000310124.1	550	550	550	550
ENSG00000131686.15	1129	1138	1493	2661
ENSG00000290109.2	663	663	755	757
ENSG00000265141.2	299	299	299	299
ENSG00000197241.4	1944	1944	1944	1944
ENSG00000142583.18	3214	3214	4085	5680
ENSG00000252404.1	184	184	184	184
ENSG00000180758.12	5197	5197	5197	5197
ENSG00000228526.9	2576	2570	4457	9103
ENSG00000284357.1	110	110	110	110
ENSG00000289914.2	625	625	625	625
ENSG00000302015.1	391	391	391	391
ENSG00000234546.6	1349	1544	1996	5449
ENSG00000301983.1	459	459	459	459
ENSG00000301968.1	2236	2236	2236	2236
ENSG00000049239.13	7368	7368	9147	9322
ENSG00000302217.1	474	474	474	474
ENSG00000171621.14	1850	1439	3106	3322
ENSG00000294252.1	597	597	597	597
ENSG00000296073.1	985	985	985	985
ENSG00000296056.1	704	704	704	704
ENSG00000307568.1	1083	1083	1083	1083
ENSG00000284652.1	1765	1765	1765	1765
ENSG00000284693.3	1662	1499	2767	4621
ENSG00000252956.1	110	110	110	110
ENSG00000301013.1	1116	1116	1116	1116
ENSG00000301030.1	521	521	521	521
ENSG00000306844.1	587	587	587	587
ENSG00000296249.1	776	776	776	776
ENSG00000235263.2	1111	1111	1111	1111
ENSG00000171612.7	3865	3865	3865	3865
ENSG00000231181.1	559	559	559	559
ENSG00000188807.13	3833	3833	3851	6497
ENSG00000307011.1	493	493	493	493
ENSG00000171608.18	4867	5157	5412	5936
ENSG00000179840.5	1823	1823	1823	1823
ENSG00000233268.3	421	421	421	421
ENSG00000301080.1	546	546	546	546
ENSG00000231789.5	1009	1009	1009	1009
ENSG00000171603.18	4703	4703	4760	4779
ENSG00000271264.1	246	246	246	246
ENSG00000280113.2	1983	1983	1983	1983
ENSG00000178585.15	1378	1029	3006	3339
ENSG00000223989.1	424	424	424	424
ENSG00000285701.2	769	769	769	769
ENSG00000228150.2	719	752	970	1927
ENSG00000162441.12	2446	1405	4989	5005
ENSG00000173614.14	2414	2414	3734	4292
ENSG00000202415.1	319	319	319	319
ENSG00000283611.2	444	444	444	444
ENSG00000265521.1	78	78	78	78
ENSG00000241326.1	436	436	436	436
ENSG00000162444.12	625	625	625	625
ENSG00000130939.20	4533	5338	6184	6849
ENSG00000224340.1	337	337	337	337
ENSG00000233623.2	680	680	680	680
ENSG00000201746.1	107	107	107	107
ENSG00000054523.20	7470	7408	10855	17274
ENSG00000264881.1	86	86	86	86
ENSG00000199562.1	107	107	107	107
ENSG00000264501.2	293	293	293	293
ENSG00000284735.1	1154	1154	1392	2309
ENSG00000284642.1	1369	1369	1369	1369
ENSG00000142657.21	2268	2268	2268	2268
ENSG00000271989.1	797	797	797	797
ENSG00000251503.8	897	626	1469	2244
ENSG00000175279.22	744	744	905	1184
ENSG00000241563.4	914	914	914	914
ENSG00000160049.12	3719	3719	6035	6625
ENSG00000203469.2	467	467	467	467
ENSG00000142655.13	1922	1922	1922	1922
ENSG00000307253.1	401	401	401	401
ENSG00000287727.1	2876	2876	2876	2876
ENSG00000243267.3	280	280	280	280
ENSG00000130940.15	6169	6169	7934	8526
ENSG00000272078.1	7923	7923	7923	7923
ENSG00000298629.1	432	432	432	432
ENSG00000308013.1	361	361	361	361
ENSG00000307983.1	535	535	567	913
ENSG00000307999.1	619	619	619	619
ENSG00000225158.2	238	238	238	238
ENSG00000308257.1	1485	1485	1485	1485
ENSG00000175262.15	2798	2798	2798	2798
ENSG00000215785.2	494	494	494	494
ENSG00000120948.19	1722	1031	4185	4274
ENSG00000009724.18	1985	1956	2641	3152
ENSG00000116649.10	1260	1260	1260	1260
ENSG00000230337.5	2050	2401	2682	5705
ENSG00000171824.14	2758	2758	2796	2796
ENSG00000198793.14	8604	8604	8721	8721
ENSG00000225602.5	705	705	705	705
ENSG00000253086.1	103	103	103	103
ENSG00000171819.5	2224	2224	2224	2224
ENSG00000207451.1	107	107	107	107
ENSG00000238173.1	150	150	150	150
ENSG00000309051.1	479	479	479	479
ENSG00000120942.14	2239	2239	3654	3946
ENSG00000238199.1	437	437	437	437
ENSG00000284646.2	788	801	822	1072
ENSG00000302153.1	1000	1000	1214	1844
ENSG00000302176.1	497	497	497	497
ENSG00000224338.2	565	565	565	565
ENSG00000299102.1	1017	1017	1017	1017
ENSG00000204624.8	3380	3380	5265	5417
ENSG00000285833.1	1051	1051	1051	1051
ENSG00000303300.1	295	295	295	295
ENSG00000235643.2	1351	1351	1351	1351
ENSG00000284708.1	2094	2094	2094	2094
ENSG00000116661.11	1287	1287	1287	1287
ENSG00000132879.14	1943	1815	3320	3527
ENSG00000116670.17	1164	1027	1860	2324
ENSG00000116663.11	1444	1444	1444	1444
ENSG00000162490.7	7365	7365	7365	7365
ENSG00000301523.1	548	548	548	548
ENSG00000305789.1	1000	1000	1000	1000
ENSG00000177674.16	970	1055	1130	1317
ENSG00000215910.8	4608	4608	4672	5134
ENSG00000177553.6	1868	1868	1868	1868
ENSG00000177000.13	5315	7018	8378	8601
ENSG00000011021.23	4714	5589	5631	6087
ENSG00000276470.1	173	173	173	173
ENSG00000278852.1	149	149	149	149
ENSG00000175206.11	791	791	855	1120
ENSG00000275915.1	108	108	108	108
ENSG00000120937.9	708	708	708	708
ENSG00000224904.1	2637	2637	2637	2637
ENSG00000285646.3	1077	926	1715	2258
ENSG00000199347.1	120	120	120	120
ENSG00000201801.1	120	120	120	120
ENSG00000116685.17	2679	2679	2819	3281
ENSG00000083444.17	2976	2976	2976	2976
ENSG00000287384.1	595	595	595	595
ENSG00000116688.18	4465	4529	4772	6203
ENSG00000270914.1	93	93	93	93
ENSG00000116691.11	1541	1541	1541	1541
ENSG00000202461.1	113	113	113	113
ENSG00000276869.1	65	65	65	65
ENSG00000243539.3	275	275	275	275
ENSG00000120949.15	3238	3593	3760	3812
ENSG00000201135.1	104	104	104	104
ENSG00000227875.2	255	255	255	255
ENSG00000285604.1	1196	1196	1196	1196
ENSG00000294285.1	303	303	303	303
ENSG00000301863.1	587	587	587	587
ENSG00000283789.1	96	96	96	96
ENSG00000028137.19	2122	2122	3687	3698
ENSG00000296888.1	666	666	666	666
ENSG00000263676.1	61	61	61	61
ENSG00000297053.1	758	758	758	758
ENSG00000225196.2	316	316	316	316
ENSG00000252969.1	124	124	124	124
ENSG00000048707.15	12146	16245	16357	16667
ENSG00000295309.1	524	524	524	524
ENSG00000239149.1	152	152	152	152
ENSG00000229484.4	1566	1566	1980	2508
ENSG00000309694.1	1092	1092	1092	1092
ENSG00000162496.10	1699	1670	2201	3785
ENSG00000221340.1	101	101	101	101
ENSG00000276830.1	67	67	67	67
ENSG00000305650.1	398	398	398	398
ENSG00000288927.3	983	606	2362	2362
ENSG00000204518.3	2027	2027	2027	2027
ENSG00000226166.2	112	112	112	112
ENSG00000188984.12	4055	4055	4055	4055
ENSG00000157330.10	2129	2129	3564	3564
ENSG00000116726.5	2889	2889	2889	2889
ENSG00000116721.9	2160	2160	2160	2160
ENSG00000228338.2	527	527	527	527
ENSG00000239810.3	1845	1845	1845	1845
ENSG00000231103.2	1417	1417	1417	1417
ENSG00000179172.10	1134	1134	1134	1134
ENSG00000120952.4	1642	1642	1642	1642
ENSG00000243073.4	1840	1840	1840	1840
ENSG00000296105.1	505	505	505	505
ENSG00000187545.5	1525	1525	1525	1525
ENSG00000204510.6	1713	1713	1866	1909
ENSG00000207434.1	107	107	107	107
ENSG00000234064.1	1139	1139	1139	1139
ENSG00000232423.6	1720	1720	1720	1784
ENSG00000274178.2	1450	1450	1450	1450
ENSG00000274764.6	1947	1947	1947	1947
ENSG00000277058.3	1809	1809	1897	1897
ENSG00000229571.7	1891	1891	1919	1997
ENSG00000277862.1	1447	1447	1447	1447
ENSG00000236179.1	891	891	891	891
ENSG00000275774.3	1156	1156	1156	1156
ENSG00000290772.2	2035	2035	2035	2035
ENSG00000229978.2	1452	1452	1452	1452
ENSG00000297821.1	410	410	410	410
ENSG00000233336.1	384	384	384	384
ENSG00000280267.7	2153	2153	2398	2433
ENSG00000179412.11	1718	1718	1718	1718
ENSG00000204505.5	2465	2465	2465	2465
ENSG00000279169.3	1747	1747	2163	2442
ENSG00000279804.3	2125	2125	2125	2125
ENSG00000295394.1	797	797	797	797
ENSG00000250894.1	1371	1371	1371	1371
ENSG00000270601.5	1855	1855	1855	1855
ENSG00000231219.1	1068	1068	1068	1068
ENSG00000207511.1	107	107	107	107
ENSG00000182330.11	1564	1564	1570	1611
ENSG00000237700.2	1518	1518	1518	1518
ENSG00000204501.7	1865	1865	1865	1865
ENSG00000228229.2	384	384	384	384
ENSG00000204481.8	2164	2164	2164	2164
ENSG00000204480.9	2123	2123	2123	2123
ENSG00000204479.4	1578	1578	1578	1578
ENSG00000204478.11	1597	1597	1597	1597
ENSG00000307992.1	494	494	494	494
ENSG00000295011.1	992	992	992	992
ENSG00000162494.6	2168	2168	2168	2168
ENSG00000301663.1	755	755	791	987
ENSG00000259961.2	477	477	477	477
ENSG00000215909.3	371	371	371	371
ENSG00000162493.17	1569	1305	3104	3707
ENSG00000222952.1	101	101	101	101
ENSG00000237445.2	379	379	379	379
ENSG00000295237.1	1097	1097	1097	1097
ENSG00000253085.1	130	130	130	130
ENSG00000116731.23	4452	5797	7957	9691
ENSG00000289380.1	688	688	688	688
ENSG00000304226.1	1328	1328	1328	1328
ENSG00000189337.17	3481	3643	6874	10591
ENSG00000252151.1	103	103	103	103
ENSG00000231606.2	976	976	1239	1549
ENSG00000234593.4	1146	1227	1404	2858
ENSG00000302124.1	238	238	238	238
ENSG00000235829.1	326	326	326	326
ENSG00000287756.1	1453	1453	1453	1453
ENSG00000294214.1	389	389	389	389
ENSG00000294586.1	1278	1278	1278	1278
ENSG00000293964.1	362	362	383	532
ENSG00000175147.13	4619	5022	7100	9697
ENSG00000310342.1	579	579	579	579
ENSG00000171729.14	1891	1861	1971	2238
ENSG00000204464.8	531	531	622	928
ENSG00000215720.4	710	710	710	710
ENSG00000278480.1	966	966	966	966
ENSG00000142621.21	3806	4722	5610	6364
ENSG00000228140.3	2015	1538	5178	7958
ENSG00000233485.2	1842	1842	3105	3685
ENSG00000236045.1	727	727	727	727
ENSG00000142634.13	2422	2422	2422	2422
ENSG00000162438.12	3314	3314	3482	3483
ENSG00000142615.8	916	916	916	916
ENSG00000215704.10	915	915	915	915
ENSG00000132906.18	2560	2214	4463	4607
ENSG00000116138.13	4429	4664	6034	7817
ENSG00000251866.1	140	140	140	140
ENSG00000272510.1	346	346	346	346
ENSG00000116771.6	3095	3095	3095	3095
