gene	mean	median	longest_isoform	merged
ENSG00000240409.1	207	207	207	207
ENSG00000248527.1	681	681	681	681
ENSG00000198744.5	547	547	547	547
ENSG00000268663.1	424	424	424	424
ENSG00000284662.2	939	939	939	939
ENSG00000230021.11	183	183	183	183
ENSG00000229376.3	2455	2455	2455	2455
ENSG00000223181.1	104	104	104	104
ENSG00000229905.1	456	456	456	456
ENSG00000228327.6	417	417	417	417
ENSG00000237491.11	1124	1089	3247	8986
ENSG00000285268.1	114	114	114	114
ENSG00000230092.8	238	238	238	238
ENSG00000177757.3	1960	1960	1960	1960
ENSG00000228794.13	1813	1462	8389	24912
ENSG00000297178.1	1689	1689	1689	1689
ENSG00000297224.1	923	923	980	980
ENSG00000230368.3	1001	919	1887	2422
ENSG00000234711.1	1058	1058	1058	1058
ENSG00000283040.1	837	837	837	837
ENSG00000296088.1	517	517	657	759
ENSG00000272438.2	1070	821	3043	10117
ENSG00000298603.1	417	417	417	417
ENSG00000223764.3	1429	1017	4152	6557
ENSG00000187634.13	1697	1731	3468	4172
ENSG00000188976.11	1743	1244	4201	5540
ENSG00000187961.15	1237	934	2567	3402
ENSG00000187583.11	1797	2194	3176	3451
ENSG00000187642.10	2564	2765	3520	3561
ENSG00000303599.1	444	444	540	742
ENSG00000272512.1	2086	2086	2086	2086
ENSG00000188290.11	907	961	1040	1118
ENSG00000303623.1	354	354	354	354
ENSG00000187608.10	693	657	787	867
ENSG00000303614.1	555	555	555	555
ENSG00000231702.2	154	154	154	154
ENSG00000224969.1	471	471	471	471
ENSG00000188157.16	3590	2142	7477	10762
ENSG00000242590.1	402	402	402	402
ENSG00000291156.2	923	932	1321	2902
ENSG00000273443.2	992	992	1156	1694
ENSG00000217801.13	1219	1219	1219	1219
ENSG00000304119.1	464	438	655	1251
ENSG00000304169.1	577	663	698	972
ENSG00000237330.3	1900	1900	1900	1900
ENSG00000131591.18	1445	982	3315	6322
ENSG00000285812.1	1095	1095	1095	1095
ENSG00000299943.1	1654	1654	1654	1654
ENSG00000223823.1	1620	1620	1620	1620
ENSG00000304965.1	850	850	850	850
ENSG00000207730.3	95	95	95	95
ENSG00000207607.3	90	90	90	90
ENSG00000198976.1	83	83	83	83
ENSG00000272141.1	987	987	987	987
ENSG00000205231.1	3532	3532	3532	3532
ENSG00000162571.14	1149	643	2307	3998
ENSG00000186891.14	841	789	1083	1271
ENSG00000186827.12	1070	1039	1707	1975
ENSG00000304412.1	499	499	499	499
ENSG00000078808.20	1935	2079	3516	4686
ENSG00000176022.7	2805	2805	2805	2805
ENSG00000184163.3	705	647	1036	1794
ENSG00000260179.1	1558	1558	1558	1558
ENSG00000160087.21	1036	861	2455	4691
ENSG00000230415.2	600	389	1144	1580
ENSG00000162572.21	1996	2473	3475	4025
ENSG00000131584.19	1680	819	5319	8707
ENSG00000278073.1	61	61	61	61
ENSG00000169972.13	1029	940	1783	2640
ENSG00000127054.22	1249	883	3079	8216
ENSG00000283712.1	65	65	65	65
ENSG00000240731.1	386	386	386	386
ENSG00000224051.7	1346	1101	2154	2555
ENSG00000169962.5	3475	3475	3475	3475
ENSG00000107404.21	1405	785	3305	3882
ENSG00000284372.1	59	59	59	59
ENSG00000304860.1	510	510	548	1107
ENSG00000162576.17	1399	1086	2728	3622
ENSG00000175756.14	800	775	1072	1381
ENSG00000223663.2	367	367	367	367
ENSG00000221978.13	1695	1503	4452	6842
ENSG00000224870.10	1817	1883	2529	2579
ENSG00000242485.6	808	644	1693	2767
ENSG00000264293.2	293	293	293	293
ENSG00000301639.1	475	475	475	475
ENSG00000272455.1	1523	1523	1523	1523
ENSG00000235098.9	1602	1632	2024	2644
ENSG00000225905.2	722	722	902	1222
ENSG00000205116.4	3217	3217	3217	3217
ENSG00000225285.2	1102	1073	2301	4652
ENSG00000179403.12	1979	1483	4492	5065
ENSG00000215915.10	1631	525	3864	3981
ENSG00000160072.20	2923	3300	4314	7686
ENSG00000290916.2	511	441	745	1521
ENSG00000284740.3	227	227	227	227
ENSG00000197785.14	1753	2298	2612	3344
ENSG00000205090.10	1088	1088	1381	2009
ENSG00000299413.1	519	519	519	519
ENSG00000160075.12	2079	1761	4176	6919
ENSG00000215014.5	1486	1486	2132	2380
ENSG00000274481.1	400	400	400	400
ENSG00000228594.4	2124	2124	2124	2124
ENSG00000286989.2	1110	879	1830	2483
ENSG00000272106.1	2038	2038	2038	2038
ENSG00000197530.13	1876	1455	4247	8723
ENSG00000189409.14	873	774	1531	2205
ENSG00000248333.9	2344	2490	2992	3490
ENSG00000272004.2	665	608	1035	1185
ENSG00000189339.12	3919	2860	6434	8462
ENSG00000293187.1	1422	1422	1422	1422
ENSG00000269737.3	502	502	502	502
ENSG00000310190.1	985	844	1899	3793
ENSG00000310238.1	1025	1077	1092	1287
ENSG00000215914.4	1017	1017	1017	1017
ENSG00000008128.23	1380	931	2984	5085
ENSG00000268575.1	5079	5079	5079	5079
ENSG00000293188.2	987	940	1808	4143
ENSG00000290854.2	1591	1514	2078	3264
ENSG00000215790.9	732	732	732	732
ENSG00000227775.4	497	497	497	497
ENSG00000008130.15	1200	859	3653	5570
ENSG00000302550.1	423	446	473	1065
ENSG00000078369.19	2392	2750	3484	9030
ENSG00000231050.4	834	852	1140	1574
ENSG00000303984.1	355	355	355	355
ENSG00000294910.1	479	516	547	547
ENSG00000306476.1	331	331	331	331
ENSG00000169885.10	972	719	1882	2040
ENSG00000178821.13	736	784	1118	1600
ENSG00000142609.20	2630	2365	5355	10422
ENSG00000233542.3	1186	1330	2283	2759
ENSG00000187730.9	1435	1578	2393	5525
ENSG00000304958.1	839	855	951	1014
ENSG00000226969.2	619	575	846	846
ENSG00000067606.17	947	702	2385	7695
ENSG00000308181.1	922	922	1139	1145
ENSG00000271806.1	4196	4196	4196	4196
ENSG00000182873.5	937	937	1253	1734
ENSG00000162585.17	1669	1413	4478	10916
ENSG00000304038.1	881	881	973	1029
ENSG00000234396.3	326	326	326	326
ENSG00000304143.1	711	711	711	711
ENSG00000157933.11	1523	448	6083	6687
ENSG00000295493.1	224	224	224	224
ENSG00000287356.2	1337	1032	5675	7060
ENSG00000116151.14	1697	1645	4764	11337
ENSG00000272161.1	493	493	493	493
ENSG00000292993.1	2407	2407	2407	2407
ENSG00000269896.3	214	214	214	214
ENSG00000272420.1	568	568	568	568
ENSG00000295371.1	504	504	504	504
ENSG00000157916.20	1436	695	3028	5689
ENSG00000157911.11	1473	907	2905	3782
ENSG00000149527.18	4410	4853	6986	10809
ENSG00000224387.1	455	455	455	455
ENSG00000229393.1	514	514	514	514
ENSG00000157881.16	1128	723	2641	5072
ENSG00000197921.6	1324	1324	1324	1324
ENSG00000272449.4	1560	1560	1590	1949
ENSG00000238164.7	1156	784	3624	9357
ENSG00000307979.1	1640	1640	1640	1640
ENSG00000157873.18	1266	884	4255	6214
ENSG00000225931.3	1297	1297	1297	1297
ENSG00000307958.1	1339	1339	1339	1339
ENSG00000228037.2	1053	1053	1500	1772
ENSG00000289610.3	694	694	694	694
ENSG00000157870.17	1653	1096	2827	3371
ENSG00000142606.16	1157	554	2879	3870
ENSG00000237058.2	632	604	950	1721
ENSG00000215912.13	4777	4777	7780	7780
ENSG00000285945.1	593	593	593	593
ENSG00000283259.1	1565	1565	1565	1565
ENSG00000233234.1	607	607	607	607
ENSG00000287396.2	706	710	721	766
ENSG00000231630.1	429	429	429	429
ENSG00000302855.1	774	774	774	774
ENSG00000295089.1	503	503	503	503
ENSG00000300015.1	523	523	523	523
ENSG00000284745.2	1751	1872	2120	2299
ENSG00000169717.7	1437	1437	1437	1437
ENSG00000177133.15	1043	745	4247	6805
ENSG00000142611.17	3278	3730	8698	9767
ENSG00000283572.1	61	61	61	61
ENSG00000226286.1	469	469	469	469
ENSG00000306427.1	515	515	649	726
ENSG00000279839.1	2677	2677	2677	2677
ENSG00000306439.1	655	655	655	655
ENSG00000272235.1	3461	3461	3461	3461
ENSG00000287828.2	861	852	1014	1280
ENSG00000286518.1	2784	2784	2784	2784
ENSG00000295754.1	730	730	730	730
ENSG00000297626.1	744	744	744	744
ENSG00000130762.15	1772	2211	2822	5324
ENSG00000272088.1	382	382	382	382
ENSG00000162591.17	3365	2837	7443	9021
ENSG00000207776.1	96	96	96	96
ENSG00000309127.1	381	381	381	381
ENSG00000238260.4	1112	1126	1930	2313
ENSG00000158109.15	2295	2295	2401	2401
ENSG00000116213.16	1464	859	6089	7634
ENSG00000078900.16	2797	2062	5200	7281
ENSG00000227589.1	754	754	754	754
ENSG00000235131.1	351	351	351	351
ENSG00000293478.2	2670	2652	6358	9700
ENSG00000276189.1	161	161	161	161
ENSG00000227372.13	1455	1455	1455	1455
ENSG00000162592.10	2354	2252	2685	4238
ENSG00000296834.1	657	657	657	657
ENSG00000235169.11	502	507	547	993
ENSG00000130764.10	1770	575	4303	4509
ENSG00000266075.2	297	297	297	297
ENSG00000272153.1	531	531	531	531
ENSG00000116198.14	4540	5779	7766	11885
ENSG00000169598.17	2322	2842	3152	3870
ENSG00000198912.12	1894	1779	3499	4883
ENSG00000236423.9	1288	1265	3116	7016
ENSG00000233304.8	1385	1304	3242	5363
ENSG00000226374.4	1213	1253	1646	2355
ENSG00000284668.3	707	548	1259	3932
ENSG00000284703.2	3146	3146	5152	5152
ENSG00000296871.1	1490	1490	1490	1490
ENSG00000308587.1	673	673	915	916
ENSG00000229280.1	372	372	372	372
ENSG00000301255.1	439	439	439	439
ENSG00000299169.1	1807	1807	1807	1807
ENSG00000302287.1	537	537	547	547
ENSG00000235054.5	1258	1347	2077	2922
ENSG00000306535.1	1051	1051	1051	1051
ENSG00000284694.1	3402	3402	3402	3402
ENSG00000299517.1	976	976	976	976
ENSG00000227169.2	356	356	356	356
ENSG00000295490.1	401	401	401	401
ENSG00000232596.3	1057	1101	1531	3328
ENSG00000300565.1	1042	942	1279	2121
ENSG00000303830.1	1109	1126	1329	1927
ENSG00000196581.11	4927	2383	12102	12528
ENSG00000287586.1	2992	2992	3030	3225
ENSG00000284739.2	560	607	611	797
ENSG00000284674.1	1580	1580	1580	1580
ENSG00000309102.1	411	411	411	411
ENSG00000309111.1	733	733	733	733
ENSG00000231510.1	449	449	449	449
ENSG00000296716.1	835	835	835	835
ENSG00000302269.1	1290	1290	1290	1290
ENSG00000306645.1	612	612	612	612
ENSG00000284616.1	1225	1225	1225	1225
ENSG00000302445.1	2516	2516	2516	2516
ENSG00000302452.1	855	855	855	855
ENSG00000295735.1	720	720	720	720
ENSG00000284692.3	1134	824	2210	2316
ENSG00000284666.1	609	609	609	609
ENSG00000260972.1	1697	1697	1697	1697
ENSG00000299325.1	432	432	432	432
ENSG00000283356.1	135	135	135	135
ENSG00000289893.2	800	808	1606	5386
ENSG00000264341.1	73	73	73	73
ENSG00000295108.1	1070	1070	1070	1070
ENSG00000295122.1	790	790	1061	1486
ENSG00000298180.1	360	360	360	360
ENSG00000264101.1	70	70	70	70
ENSG00000131697.18	3293	3967	5548	13167
ENSG00000299539.1	348	348	348	348
ENSG00000069424.16	2136	1229	5979	17212
ENSG00000116254.18	3910	3720	9850	10094
ENSG00000285629.1	663	663	663	663
ENSG00000116251.11	1080	786	2279	4665
ENSG00000226944.2	752	752	865	867
ENSG00000158286.13	1377	612	3981	6595
ENSG00000116237.16	2240	1919	4795	4910
ENSG00000225077.4	1537	1549	2040	2677
ENSG00000173673.9	710	710	710	710
ENSG00000158292.7	4198	4198	4198	4198
ENSG00000097021.21	1413	1472	1813	3500
ENSG00000271746.1	837	837	837	837
ENSG00000069812.11	1339	849	4262	5407
ENSG00000187017.18	1132	651	4731	6940
ENSG00000265392.1	63	63	63	63
ENSG00000231868.1	351	351	351	351
ENSG00000215788.11	1246	1087	3483	4263
ENSG00000171680.23	2334	3381	4191	6935
ENSG00000297749.1	288	288	288	288
ENSG00000299237.1	689	689	689	689
ENSG00000299253.1	482	482	482	482
ENSG00000162408.11	1873	731	6627	7271
ENSG00000253022.1	111	111	111	111
ENSG00000229519.2	401	401	401	401
ENSG00000173662.21	1796	1841	2764	2764
ENSG00000204859.13	1430	1025	2484	4510
ENSG00000162413.17	2695	1056	6445	6670
ENSG00000295286.1	858	858	858	858
ENSG00000304810.1	163	163	163	163
ENSG00000116273.6	2215	2215	3632	3632
ENSG00000041988.16	1030	931	2053	4067
ENSG00000007923.17	2546	3082	5004	12182
ENSG00000228750.8	708	584	1686	2346
ENSG00000284744.1	987	987	987	987
ENSG00000237436.2	453	415	559	745
ENSG00000171735.21	2746	2142	8314	15672
ENSG00000227950.1	286	286	286	286
ENSG00000237365.1	349	349	349	349
ENSG00000207056.1	165	165	165	165
ENSG00000310450.1	639	639	639	639
ENSG00000237402.2	344	348	423	806
ENSG00000237728.3	689	629	930	1590
ENSG00000294314.1	451	451	451	451
ENSG00000225126.2	600	615	678	799
ENSG00000298973.1	636	636	636	636
ENSG00000306883.1	499	499	499	499
ENSG00000302704.1	326	326	326	326
ENSG00000270171.1	1721	1721	1721	1721
ENSG00000270035.1	570	570	570	570
ENSG00000269978.2	573	573	573	573
ENSG00000300603.1	406	406	448	472
ENSG00000049245.13	1135	954	2178	2733
ENSG00000269925.1	393	393	393	393
ENSG00000049246.15	3301	1524	6365	8128
ENSG00000236266.2	885	885	940	1544
ENSG00000049247.14	870	591	1601	1793
ENSG00000302605.1	318	318	318	318
ENSG00000049249.10	1877	595	5872	6354
ENSG00000270330.1	355	355	355	355
ENSG00000116288.13	829	789	1127	2397
ENSG00000299004.1	991	991	991	991
ENSG00000200344.1	103	103	103	103
ENSG00000284747.1	2168	2168	2236	4116
ENSG00000284716.1	1043	1043	1043	1043
ENSG00000116285.13	1491	995	3097	4179
ENSG00000238290.2	931	775	3105	7929
ENSG00000232848.1	800	800	800	800
ENSG00000301325.1	711	710	950	1634
ENSG00000227634.4	773	683	1815	6683
ENSG00000229305.1	1075	1075	1075	1075
ENSG00000301344.1	578	578	629	674
ENSG00000200975.1	164	164	164	164
ENSG00000233645.1	477	477	477	477
ENSG00000298156.1	630	630	630	630
ENSG00000301025.1	540	540	540	540
ENSG00000301006.1	561	571	787	1650
ENSG00000251977.1	107	107	107	107
ENSG00000162426.16	1834	2074	2496	2600
ENSG00000252254.1	113	113	113	113
ENSG00000142599.20	2414	852	8026	14288
ENSG00000232912.6	669	516	1052	1178
ENSG00000221083.1	125	125	125	125
ENSG00000270282.1	369	369	369	369
ENSG00000234619.1	658	658	658	658
ENSG00000224315.2	703	703	703	703
ENSG00000303676.1	579	579	579	579
ENSG00000222511.2	103	103	103	103
ENSG00000226545.1	415	415	415	415
ENSG00000228423.2	353	353	353	353
ENSG00000229716.2	369	369	369	369
ENSG00000074800.16	1066	642	2548	5216
ENSG00000274258.1	89	89	89	89
ENSG00000230679.2	527	478	757	1057
ENSG00000201725.1	107	107	107	107
ENSG00000238249.2	743	743	743	743
ENSG00000310107.1	1106	1078	1491	2239
ENSG00000232208.2	352	352	352	352
ENSG00000232663.2	163	163	163	163
ENSG00000310124.1	482	482	550	550
ENSG00000131686.15	980	864	1493	2662
ENSG00000290109.2	604	572	755	757
ENSG00000265141.2	299	299	299	299
ENSG00000197241.4	1944	1944	1944	1944
ENSG00000142583.18	1201	756	4085	6632
ENSG00000252404.1	184	184	184	184
ENSG00000180758.12	1951	458	5197	5304
ENSG00000228526.9	1437	805	4457	10504
ENSG00000284357.1	110	110	110	110
ENSG00000289914.2	625	625	625	625
ENSG00000302015.1	391	391	391	391
ENSG00000234546.6	948	775	1996	7554
ENSG00000301983.1	459	459	459	459
ENSG00000301968.1	1446	1529	2236	2378
ENSG00000049239.13	5812	5590	9147	9322
ENSG00000302217.1	460	460	474	474
ENSG00000171621.14	1593	1223	3106	3389
ENSG00000294252.1	597	597	597	597
ENSG00000296073.1	862	807	985	1269
ENSG00000296056.1	633	633	704	704
ENSG00000307568.1	783	783	1083	1083
ENSG00000284652.1	1765	1765	1765	1765
ENSG00000284693.3	895	703	2767	6288
ENSG00000252956.1	110	110	110	110
ENSG00000301013.1	1061	1068	1116	1384
ENSG00000301030.1	521	521	521	521
ENSG00000306844.1	587	587	587	587
ENSG00000296249.1	776	776	776	776
ENSG00000235263.2	1111	1111	1111	1111
ENSG00000171612.7	3865	3865	3865	3865
ENSG00000231181.1	559	559	559	559
ENSG00000188807.13	2512	3447	3851	6981
ENSG00000307011.1	493	493	493	493
ENSG00000171608.18	2778	2159	5412	9567
ENSG00000179840.5	1823	1823	1823	1823
ENSG00000233268.3	421	421	421	421
ENSG00000301080.1	546	546	546	546
ENSG00000231789.5	659	564	1009	1099
ENSG00000171603.18	3404	4143	4760	5241
ENSG00000271264.1	246	246	246	246
ENSG00000280113.2	1316	1316	1983	1983
ENSG00000178585.15	1378	1029	3006	3339
ENSG00000223989.1	424	424	424	424
ENSG00000285701.2	765	765	769	775
ENSG00000228150.2	650	676	970	2565
ENSG00000162441.12	1695	945	4989	5459
ENSG00000173614.14	1529	1094	3734	4610
ENSG00000202415.1	319	319	319	319
ENSG00000283611.2	444	444	444	444
ENSG00000265521.1	78	78	78	78
ENSG00000241326.1	436	436	436	436
ENSG00000162444.12	743	743	861	862
ENSG00000130939.20	2356	1050	6184	9237
ENSG00000224340.1	337	337	337	337
ENSG00000233623.2	680	680	680	680
ENSG00000201746.1	107	107	107	107
ENSG00000054523.20	4734	6350	10855	18915
ENSG00000264881.1	86	86	86	86
ENSG00000199562.1	107	107	107	107
ENSG00000264501.2	293	293	293	293
ENSG00000284735.1	902	917	1392	2381
ENSG00000284642.1	870	906	1369	1477
ENSG00000142657.21	790	661	2268	3333
ENSG00000271989.1	797	797	797	797
ENSG00000251503.8	897	626	1469	2244
ENSG00000175279.22	679	684	914	1748
ENSG00000241563.4	914	914	914	914
ENSG00000160049.12	2727	1403	6035	6625
ENSG00000203469.2	467	467	467	467
ENSG00000142655.13	903	721	1922	2932
ENSG00000307253.1	401	401	401	401
ENSG00000287727.1	2876	2876	2876	2876
ENSG00000243267.3	280	280	280	280
ENSG00000130940.15	2272	695	7934	11336
ENSG00000272078.1	7923	7923	7923	7923
ENSG00000298629.1	432	432	432	432
ENSG00000308013.1	361	361	361	361
ENSG00000307983.1	535	535	567	913
ENSG00000307999.1	619	619	619	619
ENSG00000225158.2	238	238	238	238
ENSG00000308257.1	1273	1351	1967	2096
ENSG00000175262.15	2027	2359	2798	3612
ENSG00000215785.2	494	494	494	494
ENSG00000120948.19	985	776	4185	6187
ENSG00000009724.18	1863	1956	2670	5113
ENSG00000116649.10	668	578	1260	1894
ENSG00000230337.5	999	623	2682	6588
ENSG00000171824.14	1208	608	2796	5991
ENSG00000198793.14	4900	4105	9013	13373
ENSG00000225602.5	689	689	705	763
ENSG00000253086.1	103	103	103	103
ENSG00000171819.5	1415	1415	2224	2224
ENSG00000207451.1	107	107	107	107
ENSG00000238173.1	150	150	150	150
ENSG00000309051.1	479	479	479	479
ENSG00000120942.14	1675	1112	3654	5090
ENSG00000238199.1	437	437	437	437
ENSG00000284646.2	612	541	822	1657
ENSG00000302153.1	622	383	1214	2279
ENSG00000302176.1	494	494	497	497
ENSG00000224338.2	565	565	565	565
ENSG00000299102.1	845	926	1017	1476
ENSG00000204624.8	2556	1495	5265	6120
ENSG00000285833.1	1051	1051	1051	1051
ENSG00000303300.1	295	295	295	295
ENSG00000235643.2	1351	1351	1351	1351
ENSG00000284708.1	2094	2094	2094	2094
ENSG00000116661.11	945	749	2215	3163
ENSG00000132879.14	1596	994	3320	3527
ENSG00000116670.17	1311	1002	3317	7192
ENSG00000116663.11	1058	928	1444	1735
ENSG00000162490.7	7365	7365	7365	7365
ENSG00000301523.1	490	481	548	766
ENSG00000305789.1	1000	1000	1000	1000
ENSG00000177674.16	912	930	1130	2435
ENSG00000215910.8	2421	2223	4672	6695
ENSG00000177553.6	1868	1868	1868	1868
ENSG00000177000.13	3035	2387	8378	11513
ENSG00000011021.23	2370	1047	5631	8173
ENSG00000276470.1	173	173	173	173
ENSG00000278852.1	149	149	149	149
ENSG00000175206.11	791	791	855	1120
ENSG00000275915.1	108	108	108	108
ENSG00000120937.9	708	708	708	708
ENSG00000224904.1	2637	2637	2637	2637
ENSG00000285646.3	959	873	1715	3777
ENSG00000199347.1	120	120	120	120
ENSG00000201801.1	120	120	120	120
ENSG00000116685.17	2679	2679	2819	3281
ENSG00000083444.17	1182	871	2976	5320
ENSG00000287384.1	595	595	595	595
ENSG00000116688.18	3264	4352	4772	10234
ENSG00000270914.1	93	93	93	93
ENSG00000116691.11	1111	955	1709	2821
ENSG00000202461.1	113	113	113	113
ENSG00000276869.1	65	65	65	65
ENSG00000243539.3	275	275	275	275
ENSG00000120949.15	2849	2412	3760	3812
ENSG00000201135.1	104	104	104	104
ENSG00000227875.2	255	255	255	255
ENSG00000285604.1	1196	1196	1196	1196
ENSG00000294285.1	303	303	303	303
ENSG00000301863.1	587	587	587	587
ENSG00000283789.1	96	96	96	96
ENSG00000028137.19	2059	2070	3687	3778
ENSG00000296888.1	666	666	666	666
ENSG00000263676.1	61	61	61	61
ENSG00000297053.1	758	758	758	758
ENSG00000225196.2	316	316	316	316
ENSG00000252969.1	124	124	124	124
ENSG00000048707.15	3933	1303	16357	20768
ENSG00000295309.1	524	524	524	524
ENSG00000239149.1	152	152	152	152
ENSG00000229484.4	1095	970	1980	3639
ENSG00000309694.1	1092	1092	1092	1092
ENSG00000162496.10	1328	1273	2201	5881
ENSG00000221340.1	101	101	101	101
ENSG00000276830.1	67	67	67	67
ENSG00000305650.1	398	398	398	398
ENSG00000288927.3	983	606	2362	2362
ENSG00000204518.3	2027	2027	2027	2027
ENSG00000226166.2	112	112	112	112
ENSG00000188984.12	3943	3943	4055	4055
ENSG00000157330.10	1661	724	3564	4133
ENSG00000116726.5	2889	2889	2889	2889
ENSG00000116721.9	1743	1743	2160	2439
ENSG00000228338.2	526	526	527	529
ENSG00000239810.3	1845	1845	1845	1845
ENSG00000231103.2	1417	1417	1417	1417
ENSG00000179172.10	1134	1134	1134	1134
ENSG00000120952.4	1642	1642	1642	1642
ENSG00000243073.4	1840	1840	1840	1840
ENSG00000296105.1	505	505	505	505
ENSG00000187545.5	1525	1525	1525	1525
ENSG00000204510.6	1713	1713	1866	1909
ENSG00000207434.1	107	107	107	107
ENSG00000234064.1	1139	1139	1139	1139
ENSG00000232423.6	1720	1720	1720	1784
ENSG00000274178.2	1450	1450	1450	1450
ENSG00000274764.6	1947	1947	1947	1947
ENSG00000277058.3	1809	1809	1897	1897
ENSG00000229571.7	1891	1891	1919	1997
ENSG00000277862.1	1447	1447	1447	1447
ENSG00000236179.1	891	891	891	891
ENSG00000275774.3	1156	1156	1156	1156
ENSG00000290772.2	2035	2035	2035	2035
ENSG00000229978.2	1452	1452	1452	1452
ENSG00000297821.1	410	410	410	410
ENSG00000233336.1	384	384	384	384
ENSG00000280267.7	2153	2153	2398	2433
ENSG00000179412.11	1718	1718	1718	1718
ENSG00000204505.5	2465	2465	2465	2465
ENSG00000279169.3	1747	1747	2163	2442
ENSG00000279804.3	2125	2125	2125	2125
ENSG00000295394.1	797	797	797	797
ENSG00000250894.1	1371	1371	1371	1371
ENSG00000270601.5	1855	1855	1855	1855
ENSG00000231219.1	1068	1068	1068	1068
ENSG00000207511.1	107	107	107	107
ENSG00000182330.11	1564	1564	1570	1611
ENSG00000237700.2	1518	1518	1518	1518
ENSG00000204501.7	1865	1865	1865	1865
ENSG00000228229.2	384	384	384	384
ENSG00000204481.8	1748	1748	2164	2443
ENSG00000204480.9	2123	2123	2123	2123
ENSG00000204479.4	1578	1578	1578	1578
ENSG00000204478.11	1597	1597	1597	1597
ENSG00000307992.1	494	494	494	494
ENSG00000295011.1	992	992	992	992
ENSG00000162494.6	2168	2168	2168	2168
ENSG00000301663.1	757	762	791	1365
ENSG00000259961.2	432	432	477	515
ENSG00000215909.3	371	371	371	371
ENSG00000162493.17	1399	849	3104	3707
ENSG00000222952.1	101	101	101	101
ENSG00000237445.2	379	379	379	379
ENSG00000295237.1	1097	1097	1097	1097
ENSG00000253085.1	130	130	130	130
ENSG00000116731.23	2559	681	7957	10933
ENSG00000289380.1	688	688	688	688
ENSG00000304226.1	849	849	1328	1622
ENSG00000189337.17	3418	3643	6874	13860
ENSG00000252151.1	103	103	103	103
ENSG00000231606.2	976	976	1239	1549
ENSG00000234593.4	1144	1207	1404	3313
ENSG00000302124.1	238	238	238	238
ENSG00000235829.1	326	326	326	326
ENSG00000287756.1	1453	1453	1453	1453
ENSG00000294214.1	389	389	389	389
ENSG00000294586.1	1239	1239	1278	1278
ENSG00000293964.1	362	362	383	532
ENSG00000175147.13	4038	3023	7100	11973
ENSG00000310342.1	579	579	579	579
ENSG00000171729.14	1704	1852	1971	2238
ENSG00000204464.8	439	441	622	928
ENSG00000215720.4	710	710	710	710
ENSG00000278480.1	966	966	966	966
ENSG00000142621.21	2102	1420	5610	13296
ENSG00000228140.3	1150	761	5178	9279
ENSG00000233485.2	1159	580	3105	3704
ENSG00000236045.1	727	727	727	727
ENSG00000142634.13	1660	1660	2422	2534
ENSG00000162438.12	1891	1891	3482	3483
ENSG00000142615.8	677	585	916	1519
ENSG00000215704.10	635	625	915	1449
ENSG00000132906.18	1545	1111	4463	5269
ENSG00000116138.13	2903	2602	6299	8563
ENSG00000251866.1	140	140	140	140
ENSG00000272510.1	346	346	346	346
ENSG00000116771.6	3095	3095	3095	3095
ENSG00000237301.2	1115	955	2845	3725
ENSG00000235084.3	447	447	447	447
ENSG00000252417.1	68	68	68	68
ENSG00000294489.1	668	654	957	1477
ENSG00000236500.1	225	225	225	225
