ensembl_id,mean,median,longest_isoform,merged,gene_name
ENSG00000285268.1,114,114,114,114,ENSG00000285268
ENSG00000230092.8,238,238,238,238,ENSG00000230092
ENSG00000177757.3,1960,1960,1960,1960,FAM87B
ENSG00000228794.13,3548,2933,8389,15984,LINC01128
ENSG00000297178.1,1689,1689,1689,1689,ENSG00000297178
ENSG00000297224.1,980,980,980,980,ENSG00000297224
ENSG00000230368.3,1411,1411,1628,2034,FAM41C
ENSG00000234711.1,1058,1058,1058,1058,TUBB8P11
ENSG00000283040.1,837,837,837,837,ENSG00000283040
ENSG00000296088.1,517,517,657,759,ENSG00000296088
ENSG00000272438.2,2073,1718,3043,7542,ENSG00000272438
ENSG00000298603.1,417,417,417,417,ENSG00000298603
ENSG00000223764.3,1108,1017,1581,4541,LINC02593
ENSG00000187634.13,3163,3465,3468,3586,SAMD11
ENSG00000188976.11,2757,2757,2757,2757,NOC2L
ENSG00000187961.15,2567,2567,2567,2567,KLHL17
ENSG00000187583.11,2608,2455,3176,3332,PLEKHN1
ENSG00000187642.10,3016,3035,3520,3544,PERM1
ENSG00000303599.1,444,444,540,742,ENSG00000303599
ENSG00000272512.1,2086,2086,2086,2086,ENSG00000272512
ENSG00000188290.11,864,885,1040,1040,HES4
ENSG00000303623.1,354,354,354,354,ENSG00000303623
ENSG00000187608.10,712,712,787,867,ISG15
ENSG00000303614.1,555,555,555,555,ENSG00000303614
ENSG00000231702.2,154,154,154,154,ENSG00000231702
ENSG00000224969.1,471,471,471,471,ENSG00000224969
ENSG00000188157.16,7377,7394,7411,7996,AGRN
ENSG00000242590.1,402,402,402,402,ENSG00000242590
ENSG00000291156.2,1087,1087,1152,1478,ENSG00000291156
ENSG00000273443.2,992,992,1156,1694,ENSG00000273443
ENSG00000217801.13,1219,1219,1219,1219,ENSG00000217801
ENSG00000304119.1,525,525,655,910,ENSG00000304119
ENSG00000304169.1,698,698,698,698,ENSG00000304169
ENSG00000237330.3,1900,1900,1900,1900,RNF223
ENSG00000131591.18,1920,2078,2429,3105,C1orf159
ENSG00000285812.1,1095,1095,1095,1095,ENSG00000285812
ENSG00000299943.1,1654,1654,1654,1654,ENSG00000299943
ENSG00000223823.1,1620,1620,1620,1620,LINC01342
ENSG00000304965.1,850,850,850,850,ENSG00000304965
ENSG00000207730.3,95,95,95,95,MIR200B
ENSG00000207607.3,90,90,90,90,MIR200A
ENSG00000198976.1,83,83,83,83,MIR429
ENSG00000272141.1,987,987,987,987,ENSG00000272141
ENSG00000205231.1,3532,3532,3532,3532,TTLL10-AS1
ENSG00000162571.14,2236,2288,2307,3178,TTLL10
ENSG00000186891.14,841,789,1083,1271,TNFRSF18
ENSG00000186827.12,1028,1075,1184,1406,TNFRSF4
ENSG00000304412.1,499,499,499,499,ENSG00000304412
ENSG00000078808.20,2006,2006,2079,2079,SDF4
ENSG00000176022.7,2805,2805,2805,2805,B3GALT6
ENSG00000184163.3,1036,1036,1036,1036,C1QTNF12
ENSG00000260179.1,1558,1558,1558,1558,ENSG00000260179
ENSG00000160087.21,1554,1057,2387,2605,UBE2J2
ENSG00000230415.2,706,706,1144,1335,LINC01786
ENSG00000162572.21,2983,2890,3475,3859,SCNN1D
ENSG00000131584.19,3036,3036,3793,3793,ACAP3
ENSG00000278073.1,61,61,61,61,MIR6726
ENSG00000169972.13,1257,1257,1257,1257,PUSL1
ENSG00000127054.22,1923,1862,2629,3430,INTS11
ENSG00000283712.1,65,65,65,65,MIR6727
ENSG00000240731.1,386,386,386,386,ENSG00000240731
ENSG00000224051.7,2154,2154,2154,2154,CPTP
ENSG00000169962.5,3475,3475,3475,3475,TAS1R3
ENSG00000107404.21,3115,3115,3305,3307,DVL1
ENSG00000284372.1,59,59,59,59,MIR6808
ENSG00000304860.1,529,529,548,747,ENSG00000304860
ENSG00000162576.17,2313,2262,2728,3088,MXRA8
ENSG00000175756.14,874,836,1072,1122,AURKAIP1
ENSG00000223663.2,367,367,367,367,NDUFB4P8
ENSG00000221978.13,2149,2149,3112,3628,CCNL2
ENSG00000224870.10,1916,1916,1916,1916,MRPL20-AS1
ENSG00000242485.6,874,874,1049,1400,MRPL20
ENSG00000264293.2,293,293,293,293,RN7SL657P
ENSG00000301639.1,475,475,475,475,ENSG00000301639
ENSG00000272455.1,1523,1523,1523,1523,MRPL20-DT
ENSG00000235098.9,1602,1632,2024,2644,ANKRD65
ENSG00000225905.2,722,722,902,1222,ANKRD65-AS1
ENSG00000205116.4,3217,3217,3217,3217,TMEM88B
ENSG00000225285.2,1674,1464,2301,2910,LINC01770
ENSG00000179403.12,3319,3319,4492,4659,VWA1
ENSG00000215915.10,3864,3864,3864,3864,ATAD3C
ENSG00000160072.20,3106,3106,4098,4098,ATAD3B
ENSG00000290916.2,722,722,745,1183,ENSG00000290916
ENSG00000284740.3,227,227,227,227,ENSG00000284740
ENSG00000197785.14,2474,2481,2612,2786,ATAD3A
ENSG00000205090.10,1088,1088,1381,2009,TMEM240
ENSG00000299413.1,519,519,519,519,ENSG00000299413
ENSG00000160075.12,2730,2730,4176,5209,SSU72
ENSG00000215014.5,841,841,841,841,SSU72-AS1
ENSG00000274481.1,400,400,400,400,ENSG00000274481
ENSG00000228594.4,2124,2124,2124,2124,FNDC10
ENSG00000286989.2,1354,1354,1830,2028,ENSG00000286989
ENSG00000272106.1,2038,2038,2038,2038,ENSG00000272106
ENSG00000197530.13,3136,3206,3311,3798,MIB2
ENSG00000189409.14,1278,1278,1309,1315,MMP23B
ENSG00000248333.9,2607,2515,2992,3490,CDK11B
ENSG00000272004.2,803,803,1035,1185,ENSG00000272004
ENSG00000189339.12,4846,5948,6434,7017,SLC35E2B
ENSG00000293187.1,1422,1422,1422,1422,ENSG00000293187
ENSG00000269737.3,502,502,502,502,ENSG00000269737
ENSG00000310190.1,1370,1471,1899,2231,ENSG00000310190
ENSG00000310238.1,1092,1092,1092,1092,ENSG00000310238
ENSG00000215914.4,1017,1017,1017,1017,MMP23A
ENSG00000008128.23,2564,2452,2984,3170,CDK11A
ENSG00000268575.1,5079,5079,5079,5079,ENSG00000268575
ENSG00000293188.2,1340,1209,1808,3571,ENSG00000293188
ENSG00000290854.2,1591,1514,2078,3264,ENSG00000290854
ENSG00000215790.9,732,732,732,732,SLC35E2A
ENSG00000227775.4,497,497,497,497,ENSG00000227775
ENSG00000008130.15,3328,3235,3653,3880,NADK
ENSG00000302550.1,459,459,473,841,ENSG00000302550
ENSG00000078369.19,2835,3008,3484,5360,GNB1
ENSG00000231050.4,807,724,1140,1140,GNB1-DT
ENSG00000303984.1,355,355,355,355,ENSG00000303984
ENSG00000294910.1,547,547,547,547,ENSG00000294910
ENSG00000306476.1,331,331,331,331,ENSG00000306476
ENSG00000169885.10,670,670,670,670,CALML6
ENSG00000178821.13,1026,1026,1118,1302,TMEM52
ENSG00000142609.20,5301,5301,5355,5412,CFAP74
ENSG00000233542.3,1806,1806,2283,2283,ENSG00000233542
ENSG00000187730.9,1734,1695,1914,2218,GABRD
ENSG00000304958.1,951,951,951,951,ENSG00000304958
ENSG00000226969.2,641,641,846,846,PRKCZ-DT
ENSG00000067606.17,2339,2339,2385,2853,PRKCZ
ENSG00000308181.1,922,922,1139,1145,ENSG00000308181
ENSG00000271806.1,4196,4196,4196,4196,ENSG00000271806
ENSG00000182873.5,937,937,1253,1734,PRKCZ-AS1
ENSG00000162585.17,1070,1070,1413,1783,FAAP20
ENSG00000304038.1,790,790,790,790,ENSG00000304038
ENSG00000234396.3,326,326,326,326,ENSG00000234396
ENSG00000304143.1,711,711,711,711,ENSG00000304143
ENSG00000157933.11,6083,6083,6083,6083,SKI
ENSG00000295493.1,224,224,224,224,ENSG00000295493
ENSG00000287356.2,2513,1673,5675,6661,ENSG00000287356
ENSG00000116151.14,1572,1572,1645,2088,MORN1
ENSG00000272161.1,493,493,493,493,ENSG00000272161
ENSG00000292993.1,2407,2407,2407,2407,ENSG00000292993
ENSG00000269896.3,214,214,214,214,ENSG00000269896
ENSG00000272420.1,568,568,568,568,ENSG00000272420
ENSG00000295371.1,504,504,504,504,ENSG00000295371
ENSG00000157916.20,2084,2469,3028,4989,RER1
ENSG00000157911.11,2560,2835,2905,2905,PEX10
ENSG00000149527.18,5052,4870,5450,5881,PLCH2
ENSG00000224387.1,455,455,455,455,ENSG00000224387
ENSG00000229393.1,514,514,514,514,ENSG00000229393
ENSG00000157881.16,2582,2582,2641,2641,PANK4
ENSG00000197921.6,1324,1324,1324,1324,HES5
ENSG00000272449.4,1531,1531,1531,1531,ENSG00000272449
ENSG00000238164.7,2065,1497,3624,7721,TNFRSF14-AS1
ENSG00000307979.1,1640,1640,1640,1640,ENSG00000307979
ENSG00000157873.18,1299,1299,1702,1921,TNFRSF14
ENSG00000225931.3,1297,1297,1297,1297,ENSG00000225931
ENSG00000307958.1,1339,1339,1339,1339,ENSG00000307958
ENSG00000228037.2,1500,1500,1500,1500,ENSG00000228037
ENSG00000289610.3,694,694,694,694,ENSG00000289610
ENSG00000157870.17,2464,2718,2827,2828,PRXL2B
ENSG00000142606.16,2411,2411,2879,2879,MMEL1
ENSG00000237058.2,869,869,950,1471,MMEL1-AS1
ENSG00000215912.13,4777,4777,7780,7780,TTC34
ENSG00000285945.1,593,593,593,593,ENSG00000285945
ENSG00000283259.1,1565,1565,1565,1565,ENSG00000283259
ENSG00000233234.1,607,607,607,607,ENSG00000233234
ENSG00000287396.2,721,721,721,721,ENSG00000287396
ENSG00000231630.1,429,429,429,429,ENSG00000231630
ENSG00000302855.1,774,774,774,774,ENSG00000302855
ENSG00000295089.1,503,503,503,503,ENSG00000295089
ENSG00000300015.1,523,523,523,523,ENSG00000300015
ENSG00000284745.2,2120,2120,2120,2120,ENSG00000284745
ENSG00000169717.7,1437,1437,1437,1437,ACTRT2
ENSG00000177133.15,1589,997,4247,5141,PRDM16-DT
ENSG00000142611.17,5665,4864,8698,8736,PRDM16
ENSG00000283572.1,61,61,61,61,MIR4251
ENSG00000226286.1,469,469,469,469,ENSG00000226286
ENSG00000306427.1,649,649,649,649,ENSG00000306427
ENSG00000279839.1,2677,2677,2677,2677,ENSG00000279839
ENSG00000306439.1,655,655,655,655,ENSG00000306439
ENSG00000272235.1,3461,3461,3461,3461,ENSG00000272235
ENSG00000287828.2,900,900,1014,1014,ENSG00000287828
ENSG00000286518.1,2784,2784,2784,2784,ENSG00000286518
ENSG00000295754.1,730,730,730,730,ENSG00000295754
ENSG00000297626.1,744,744,744,744,ENSG00000297626
ENSG00000130762.15,2417,2219,2822,3162,ARHGEF16
ENSG00000272088.1,382,382,382,382,ENSG00000272088
ENSG00000162591.17,6333,7056,7443,7812,MEGF6
ENSG00000207776.1,96,96,96,96,MIR551A
ENSG00000309127.1,381,381,381,381,ENSG00000309127
ENSG00000238260.4,979,965,1341,1722,ENSG00000238260
ENSG00000158109.15,2295,2295,2401,2401,TPRG1L
ENSG00000116213.16,1845,1845,1998,2043,WRAP73
ENSG00000078900.16,3374,2140,5200,5772,TP73
ENSG00000227589.1,754,754,754,754,TP73-AS3
ENSG00000235131.1,351,351,351,351,TP73-AS2
ENSG00000293478.2,3422,3734,4601,6427,GFOD3P
ENSG00000276189.1,161,161,161,161,ENSG00000276189
ENSG00000227372.13,1455,1455,1455,1455,GFOD3P
ENSG00000162592.10,2125,2125,2125,2125,CCDC27
ENSG00000296834.1,657,657,657,657,ENSG00000296834
ENSG00000235169.11,520,509,547,772,SMIM1
ENSG00000130764.10,4303,4303,4303,4303,LRRC47
ENSG00000266075.2,297,297,297,297,RN7SL574P
ENSG00000272153.1,531,531,531,531,ENSG00000272153
ENSG00000116198.14,4894,5779,6559,7603,CEP104
ENSG00000169598.17,2195,2833,3105,3185,DFFB
ENSG00000198912.12,1574,1567,1645,2140,C1orf174
ENSG00000236423.9,1806,1966,2057,4135,LINC01134
ENSG00000233304.8,2350,2350,3242,4700,LINC01346
ENSG00000226374.4,1449,1449,1646,2168,LINC01345
ENSG00000284668.3,840,758,1259,3079,LINC02780
ENSG00000284703.2,3146,3146,5152,5152,ENSG00000284703
ENSG00000296871.1,1490,1490,1490,1490,ENSG00000296871
ENSG00000308587.1,673,673,915,916,ENSG00000308587
ENSG00000229280.1,372,372,372,372,EEF1DP6
ENSG00000301255.1,439,439,439,439,ENSG00000301255
ENSG00000299169.1,1807,1807,1807,1807,ENSG00000299169
ENSG00000302287.1,547,547,547,547,ENSG00000302287
ENSG00000235054.5,2077,2077,2077,2077,LINC01777
ENSG00000306535.1,1051,1051,1051,1051,ENSG00000306535
ENSG00000284694.1,3402,3402,3402,3402,ENSG00000284694
ENSG00000299517.1,976,976,976,976,ENSG00000299517
ENSG00000227169.2,356,356,356,356,ENSG00000227169
ENSG00000295490.1,401,401,401,401,ENSG00000295490
ENSG00000232596.3,1034,963,1531,3026,LINC01646
ENSG00000300565.1,1110,1110,1279,1739,ENSG00000300565
ENSG00000303830.1,1329,1329,1329,1329,ENSG00000303830
ENSG00000196581.11,7242,7242,12102,12496,AJAP1
ENSG00000287586.1,3030,3030,3030,3030,ENSG00000287586
ENSG00000284739.2,611,611,611,611,ENSG00000284739
ENSG00000284674.1,1580,1580,1580,1580,LINC02781
ENSG00000309102.1,411,411,411,411,ENSG00000309102
ENSG00000309111.1,733,733,733,733,ENSG00000309111
ENSG00000231510.1,449,449,449,449,LINC02782
ENSG00000296716.1,835,835,835,835,ENSG00000296716
ENSG00000302269.1,1290,1290,1290,1290,ENSG00000302269
ENSG00000306645.1,612,612,612,612,ENSG00000306645
ENSG00000284616.1,1225,1225,1225,1225,ENSG00000284616
ENSG00000302445.1,2516,2516,2516,2516,ENSG00000302445
ENSG00000302452.1,855,855,855,855,ENSG00000302452
ENSG00000295735.1,720,720,720,720,ENSG00000295735
ENSG00000284692.3,1286,830,2210,2210,ENSG00000284692
ENSG00000284666.1,609,609,609,609,ENSG00000284666
ENSG00000260972.1,1697,1697,1697,1697,ENSG00000260972
ENSG00000299325.1,432,432,432,432,ENSG00000299325
ENSG00000283356.1,135,135,135,135,ENSG00000283356
ENSG00000289893.2,1218,1248,1606,4474,ENSG00000289893
ENSG00000264341.1,73,73,73,73,ENSG00000264341
ENSG00000295108.1,1070,1070,1070,1070,ENSG00000295108
ENSG00000295122.1,790,790,1061,1486,ENSG00000295122
ENSG00000298180.1,360,360,360,360,ENSG00000298180
ENSG00000264101.1,70,70,70,70,MIR4689
ENSG00000131697.18,3979,3979,4955,5131,NPHP4
ENSG00000299539.1,348,348,348,348,ENSG00000299539
ENSG00000069424.16,2676,2958,4302,9724,KCNAB2
ENSG00000116254.18,9850,9850,9850,9850,CHD5
ENSG00000285629.1,663,663,663,663,ENSG00000285629
ENSG00000116251.11,1423,1423,2061,2415,RPL22
ENSG00000226944.2,752,752,865,867,RNF207-AS1
ENSG00000158286.13,3981,3981,3981,3981,RNF207
ENSG00000116237.16,4795,4795,4795,4795,ICMT
ENSG00000225077.4,1699,1699,1699,1699,ICMT-DT
ENSG00000173673.9,710,710,710,710,HES3
ENSG00000158292.7,4198,4198,4198,4198,GPR153
ENSG00000097021.21,1613,1614,1813,2786,ACOT7
ENSG00000271746.1,837,837,837,837,ENSG00000271746
ENSG00000069812.11,1537,968,4262,5407,HES2
ENSG00000187017.18,3204,3543,4731,5856,ESPN
ENSG00000265392.1,63,63,63,63,MIR4252
ENSG00000231868.1,351,351,351,351,ENSG00000231868
ENSG00000215788.11,1373,1441,1968,1997,TNFRSF25
ENSG00000171680.23,3612,3689,4191,5237,PLEKHG5
ENSG00000297749.1,288,288,288,288,ENSG00000297749
ENSG00000299237.1,689,689,689,689,ENSG00000299237
ENSG00000299253.1,482,482,482,482,ENSG00000299253
ENSG00000162408.11,6627,6627,6627,6627,NOL9
ENSG00000253022.1,111,111,111,111,RNU6-731P
ENSG00000229519.2,401,401,401,401,ENSG00000229519
ENSG00000173662.21,2317,2317,2764,2764,TAS1R1
ENSG00000204859.13,2347,2347,2347,2347,ZBTB48
ENSG00000162413.17,3163,2771,6445,6603,KLHL21
ENSG00000295286.1,858,858,858,858,ENSG00000295286
ENSG00000304810.1,163,163,163,163,ENSG00000304810
ENSG00000116273.6,3632,3632,3632,3632,PHF13
ENSG00000041988.16,1486,1361,2053,2949,THAP3
ENSG00000007923.17,2705,2705,3201,3309,DNAJC11
ENSG00000228750.8,1192,1192,1686,2170,LINC01672
ENSG00000284744.1,987,987,987,987,ENSG00000284744
ENSG00000237436.2,487,487,559,745,CAMTA1-DT
ENSG00000171735.21,3729,3691,8314,13533,CAMTA1
ENSG00000227950.1,286,286,286,286,ENSG00000227950
ENSG00000237365.1,349,349,349,349,CAMTA1-AS3
ENSG00000207056.1,165,165,165,165,RNU1-8P
ENSG00000310450.1,639,639,639,639,ENSG00000310450
ENSG00000237402.2,373,365,423,740,CAMTA1-IT1
ENSG00000237728.3,799,799,930,1349,CAMTA1-AS2
ENSG00000294314.1,451,451,451,451,ENSG00000294314
ENSG00000225126.2,678,678,678,678,CAMTA1-AS1
ENSG00000298973.1,636,636,636,636,ENSG00000298973
ENSG00000306883.1,499,499,499,499,ENSG00000306883
ENSG00000302704.1,326,326,326,326,ENSG00000302704
ENSG00000270171.1,1721,1721,1721,1721,ENSG00000270171
ENSG00000270035.1,570,570,570,570,ENSG00000270035
ENSG00000269978.2,573,573,573,573,ENSG00000269978
ENSG00000300603.1,448,448,448,448,ENSG00000300603
ENSG00000049245.13,1566,1566,2178,2670,VAMP3
ENSG00000269925.1,393,393,393,393,ENSG00000269925
ENSG00000049246.15,5334,6261,6365,6515,PER3
ENSG00000236266.2,885,885,940,1544,ENSG00000236266
ENSG00000049247.14,870,591,1601,1793,UTS2
ENSG00000302605.1,318,318,318,318,ENSG00000302605
ENSG00000049249.10,5872,5872,5872,5872,TNFRSF9
ENSG00000270330.1,355,355,355,355,ENSG00000270330
ENSG00000116288.13,954,977,1127,1354,PARK7
ENSG00000299004.1,991,991,991,991,ENSG00000299004
ENSG00000200344.1,103,103,103,103,Y_RNA
ENSG00000284747.1,2168,2168,2236,4116,ENSG00000284747
ENSG00000284716.1,1043,1043,1043,1043,ENSG00000284716
ENSG00000116285.13,1667,1546,3097,4163,ERRFI1
ENSG00000238290.2,1238,1153,2077,5245,ERRFI1-DT
ENSG00000232848.1,800,800,800,800,RPL7AP18
ENSG00000301325.1,807,807,950,1550,ENSG00000301325
ENSG00000227634.4,1095,1019,1815,4440,LINC01714
ENSG00000229305.1,1075,1075,1075,1075,ENSG00000229305
ENSG00000301344.1,527,527,527,527,ENSG00000301344
ENSG00000200975.1,164,164,164,164,RNU1-7P
ENSG00000233645.1,477,477,477,477,ENSG00000233645
ENSG00000298156.1,630,630,630,630,ENSG00000298156
ENSG00000301025.1,540,540,540,540,ENSG00000301025
ENSG00000301006.1,595,625,787,1488,ENSG00000301006
ENSG00000251977.1,107,107,107,107,RNU6-991P
ENSG00000162426.16,2448,2448,2496,2498,SLC45A1
ENSG00000252254.1,113,113,113,113,Y_RNA
ENSG00000142599.20,5090,5496,8026,10348,RERE
ENSG00000232912.6,1052,1052,1052,1052,RERE-AS1
ENSG00000221083.1,125,125,125,125,ENSG00000221083
ENSG00000270282.1,369,369,369,369,ENSG00000270282
ENSG00000234619.1,658,658,658,658,RPL7P11
ENSG00000224315.2,703,703,703,703,RPL7P7
ENSG00000303676.1,579,579,579,579,ENSG00000303676
ENSG00000222511.2,103,103,103,103,Y_RNA
ENSG00000226545.1,415,415,415,415,ENSG00000226545
ENSG00000228423.2,353,353,353,353,ENSG00000228423
ENSG00000229716.2,369,369,369,369,RPL23AP19
ENSG00000074800.16,1781,1781,1782,1843,ENO1
ENSG00000274258.1,89,89,89,89,MIR6728
ENSG00000230679.2,757,757,757,757,ENO1-AS1
ENSG00000201725.1,107,107,107,107,RNU6-304P
ENSG00000238249.2,743,743,743,743,HMGN2P17
ENSG00000310107.1,1491,1491,1491,1491,ENSG00000310107
ENSG00000232208.2,352,352,352,352,ENSG00000232208
ENSG00000232663.2,163,163,163,163,ENSG00000232663
ENSG00000310124.1,550,550,550,550,ENSG00000310124
ENSG00000131686.15,1129,1138,1493,2661,CA6
ENSG00000290109.2,663,663,755,757,ENSG00000290109
ENSG00000265141.2,299,299,299,299,RN7SL451P
ENSG00000197241.4,1944,1944,1944,1944,SLC2A7
ENSG00000142583.18,3214,3214,4085,5680,SLC2A5
ENSG00000252404.1,184,184,184,184,ENSG00000252404
ENSG00000180758.12,5197,5197,5197,5197,GPR157
ENSG00000228526.9,2576,2570,4457,9103,MIR34AHG
ENSG00000284357.1,110,110,110,110,MIR34A
ENSG00000289914.2,625,625,625,625,ENSG00000289914
ENSG00000302015.1,391,391,391,391,ENSG00000302015
ENSG00000234546.6,1349,1544,1996,5449,LNCTAM34A
ENSG00000301983.1,459,459,459,459,ENSG00000301983
ENSG00000301968.1,2236,2236,2236,2236,ENSG00000301968
ENSG00000049239.13,7368,7368,9147,9322,H6PD
ENSG00000302217.1,474,474,474,474,ENSG00000302217
ENSG00000171621.14,1850,1439,3106,3322,SPSB1
ENSG00000294252.1,597,597,597,597,ENSG00000294252
ENSG00000296073.1,985,985,985,985,ENSG00000296073
ENSG00000296056.1,704,704,704,704,ENSG00000296056
ENSG00000307568.1,1083,1083,1083,1083,ENSG00000307568
ENSG00000284652.1,1765,1765,1765,1765,ENSG00000284652
ENSG00000284693.3,1662,1499,2767,4621,LINC02606
ENSG00000252956.1,110,110,110,110,RNA5SP40
ENSG00000301013.1,1116,1116,1116,1116,ENSG00000301013
ENSG00000301030.1,521,521,521,521,ENSG00000301030
ENSG00000306844.1,587,587,587,587,ENSG00000306844
ENSG00000296249.1,776,776,776,776,ENSG00000296249
ENSG00000235263.2,1111,1111,1111,1111,ENSG00000235263
ENSG00000171612.7,3865,3865,3865,3865,SLC25A33
ENSG00000231181.1,559,559,559,559,ENSG00000231181
ENSG00000188807.13,3833,3833,3851,6497,TMEM201
ENSG00000307011.1,493,493,493,493,ENSG00000307011
ENSG00000171608.18,4867,5157,5412,5936,PIK3CD
ENSG00000179840.5,1823,1823,1823,1823,PIK3CD-AS1
ENSG00000233268.3,421,421,421,421,ENSG00000233268
ENSG00000301080.1,546,546,546,546,ENSG00000301080
ENSG00000231789.5,1009,1009,1009,1009,PIK3CD-AS2
ENSG00000171603.18,4703,4703,4760,4779,CLSTN1
ENSG00000271264.1,246,246,246,246,MZT1P1
ENSG00000280113.2,1983,1983,1983,1983,ENSG00000280113
ENSG00000178585.15,1378,1029,3006,3339,CTNNBIP1
ENSG00000223989.1,424,424,424,424,ENSG00000223989
ENSG00000285701.2,769,769,769,769,ENSG00000285701
ENSG00000228150.2,719,752,970,1927,ENSG00000228150
ENSG00000162441.12,2446,1405,4989,5005,LZIC
ENSG00000173614.14,2414,2414,3734,4292,NMNAT1
ENSG00000202415.1,319,319,319,319,RN7SKP269
ENSG00000283611.2,444,444,444,444,TMEM274P
ENSG00000265521.1,78,78,78,78,MIR5697
ENSG00000241326.1,436,436,436,436,ENSG00000241326
ENSG00000162444.12,625,625,625,625,RBP7
ENSG00000130939.20,4533,5338,6184,6849,UBE4B
ENSG00000224340.1,337,337,337,337,RPL21P21
ENSG00000233623.2,680,680,680,680,PGAM1P11
ENSG00000201746.1,107,107,107,107,RNU6-828P
ENSG00000054523.20,7470,7408,10855,17274,KIF1B
ENSG00000264881.1,86,86,86,86,ENSG00000264881
ENSG00000199562.1,107,107,107,107,RNU6-37P
ENSG00000264501.2,293,293,293,293,RN7SL731P
ENSG00000284735.1,1154,1154,1392,2309,ENSG00000284735
ENSG00000284642.1,1369,1369,1369,1369,ENSG00000284642
ENSG00000142657.21,2268,2268,2268,2268,PGD
ENSG00000271989.1,797,797,797,797,ENSG00000271989
ENSG00000251503.8,897,626,1469,2244,CENPS-CORT
ENSG00000175279.22,744,744,905,1184,CENPS
ENSG00000241563.4,914,914,914,914,CORT
ENSG00000160049.12,3719,3719,6035,6625,DFFA
ENSG00000203469.2,467,467,467,467,ENSG00000203469
ENSG00000142655.13,1922,1922,1922,1922,PEX14
ENSG00000307253.1,401,401,401,401,ENSG00000307253
