STRAND,circRNA_ID,GENE_ID,GENE_TYPE,GENE_NAME,N54,N58,N60,N70,N82,N83,N84,N85,N86,N87,NV1428,NV911,NV912,V1048,V108,V1090,V125,V1279,V1297,V1321,V1337,V1394,V1422,V1441,V1456,V148,V1505,V1528,V1565,V1591,V1592,V1699,V1708,V1742,V1776,V1788,V18,V1800,V1823,V1834,V1857,V1860,V1874,V1884,V1920,V1921,V2089,V2092,V2110,V2133,V221,V2241,V344,V359,V406,V456,V513,V538,V553,V574,V624,V630,V637,V655,V67,V712,V714,V716,V777,V806,V839,V883,V888,V940
-,,ENSG00000154655,protein_coding,L3MBTL4,10.05428559568583,8.776127191456668,7.703539291813925,8.281427632916417,9.196781807222385,9.18459956795914,9.895651366706426,8.359365764502162,9.474962879560737,9.429960129402643,10.38421183041595,8.982992134851168,9.209280905070056,0.0,10.909356676996286,10.318755696574359,8.364200819098228,9.449817253556574,0.0,8.384664010055165,7.534892663639163,10.626772742842498,10.323516136244232,8.486162239763967,9.631463818548717,10.240347417736645,7.563767273903524,7.649043379231804,9.990747637649795,0.0,9.86635309822691,9.760666229997643,10.163980668039109,9.104765901910259,8.661340668041529,8.94460843753615,8.516475176044016,8.574936388817074,9.365326446944627,9.6379941104508,0.0,8.559092342266252,9.809279061951951,7.961520104568098,9.249367692398083,8.964497383311308,9.907349271205263,8.672622040512374,8.956718148253062,0.0,9.414375784233426,8.905523061814927,0.0,9.110283391916543,0.0,10.31285008807203,0.0,9.110336356652764,0.0,8.765796929376528,0.0,9.091211115982826,11.849050337793274,0.0,10.125863258596468,10.190111831165153,10.31156813128078,0.0,9.22341245752481,7.530796142709305,0.0,10.378761489263997,9.532046438145674,9.773346732338474
-,hsa_circ_0000211,ENSG00000198879,protein_coding,SFMBT2,9.35469366189715,8.041353774973034,0.0,8.019320284998557,10.960580108670124,11.057264408035035,10.480108925544494,10.525869987030648,10.55189797593745,10.23641838308702,11.430960285722847,10.118939631326576,10.908032290636735,10.519116412764495,11.101907986848156,10.903341619263893,9.584089219288122,9.22776862210547,12.992017057007992,9.300169089616345,10.775842820361571,12.068905779208801,9.324641562691221,10.635043881648796,9.631463818548717,9.348284554092702,9.7277493067039,10.228003756913111,8.578071448931352,9.88075803688652,11.067113076276193,11.049189764935882,10.71612151872286,9.56348269007663,11.302200584771663,11.04669623420287,10.83524808572667,7.991864258542983,8.951017900420633,11.51114574603063,10.602140288490478,9.971737236033372,9.858135061281537,11.711038496729437,9.512006963100305,11.225243669970707,10.944053345392291,9.086775385123346,11.069960112309628,0.0,11.827694397412545,9.319808248714255,11.379201083228029,9.983565479158262,11.63312019676335,9.576640442521425,8.427639661570584,11.830585881355624,12.152252578946744,9.764138769944607,9.996689866959942,10.826323928768312,11.363779930310837,11.786168205901442,10.043477048025867,11.31497363327421,9.482375818026151,9.530153988882194,10.010891775718841,9.983830540335804,11.96937256469504,7.924197703270793,10.361268633050772,10.357759609318684
-,,ENSG00000122025,protein_coding,FLT3,8.677943306387728,0.0,9.505942047053676,10.336793058931795,10.458381384238196,8.922060943196986,9.632919841194248,10.60382099679489,11.303579991406874,8.75314262448471,10.284753260642528,9.659994451518966,8.211716124831712,8.064102048932583,10.909356676996286,9.319884841252762,9.099414054909744,10.101143578627857,8.114412191568853,9.85582994273782,10.528069583735807,10.407912531019466,0.0,9.015438478760542,9.801186702946426,9.12626098608798,9.143637301821375,9.643642593436567,9.57618270977156,0.0,8.132989480183937,9.760666229997643,10.780214567351702,9.104765901910259,10.466148135027357,8.209593560041066,9.684209808961352,11.86104270323462,8.951017900420633,12.299433507284016,10.187412135191957,7.976041073120801,9.651923312036079,9.542618861330988,11.095651564563234,9.641485894850618,7.985550254925819,9.67085318899075,0.0,0.0,9.636466132184209,8.905523061814927,10.771802183171935,7.5305322543754585,8.72917894750997,7.995451754698366,9.647635873465564,10.786612565089271,11.152569487745618,9.180005587164787,9.816305891451583,8.507570575249634,0.0,0.0,10.043477048025867,9.054089472643373,9.312702913222886,9.851691781509855,9.348742199002256,8.848035717729887,9.205923021946484,8.507178995177538,9.362365002327216,8.19167758411379
-,hsa_circ_0002468,ENSG00000114107,protein_coding,CEP70,10.440989423795319,0.0,0.0,11.247003453096879,11.457868599347568,11.50454283305349,11.16778174194604,11.640820210113743,11.512956224467422,11.128951106119182,10.177927017502961,10.359748118725951,10.908032290636735,0.0,0.0,0.0,10.775676608400465,11.225962810551454,11.633213117382816,0.0,11.282558979976915,11.16324265081681,0.0,10.867569515885112,10.537505332220844,0.0,0.0,0.0,0.0,0.0,10.7136628932982,0.0,0.0,0.0,11.465638103784155,9.791303399417664,9.32214067850893,12.073983193588465,11.451115591794085,11.958472908571508,12.301937306804012,0.0,11.457996727213336,9.279971295870386,11.247588731432447,10.810407028166722,10.51688461515929,11.17220782178804,12.176515755838336,0.0,0.0,0.0,10.286705382864332,10.10897760443996,10.04906582958557,0.0,11.1610394495788,0.0,8.49298051110222,11.085071053615607,11.078406550008294,11.591531466567874,0.0,10.639822759255681,10.999745358216671,0.0,0.0,12.09331623673474,0.0,0.0,0.0,12.377948584582152,10.82040109722717,12.045057157538999
-,hsa_circ_0001006,ENSG00000115310,protein_coding,RTN4,8.677943306387728,10.539337172071399,9.505942047053676,9.501168030105578,9.873931486210521,10.183359369377616,10.31031017614228,9.678655688199665,9.626763224799502,10.888060130675061,10.38421183041595,9.981565840635694,9.530721462348149,10.06005341570552,11.34973185478489,10.540986739361909,10.360913399211064,10.101143578627857,11.50201183873792,9.912353587247901,9.987945240519316,11.86020531264689,8.740803611171732,11.067768067430327,11.089737474242916,10.931770697716997,10.257740392030588,10.730150252531917,9.57618270977156,9.88075803688652,9.130417558081508,10.175287891611957,9.427853170458333,10.103455108702143,9.245114916149518,10.428151715175446,8.516475176044016,11.045761997444977,9.365326446944627,11.051899471062098,10.602140288490478,10.778476274783905,11.07963894490248,10.863385812351087,9.512006963100305,9.811210178541504,11.213115326825445,8.672622040512374,9.371029569991098,11.483611961967231,11.471661715584457,9.90401804454798,10.187252204234174,9.846204450668361,10.186445550598888,10.653648202974964,10.539890284289404,9.37293564727708,11.074602183536358,10.878722342271274,10.815505573649006,10.41155125826809,11.363779930310837,11.224483825547805,10.41513509713453,9.31667146152712,10.770690108959371,11.073191686690624,10.716619199321487,10.611358818403737,10.204701026770316,10.726452580938929,9.532046438145674,9.189208274821361
-,,ENSG00000137154,protein_coding,RPS6,10.745646311095463,10.259436973622602,10.50494957057231,10.55076398685498,0.0,10.767908233541844,0.0,0.0,0.0,10.598722675892319,0.0,9.82972129397712,0.0,0.0,10.909356676996286,0.0,10.682622066198949,9.449817253556574,10.280282492769503,8.215278479459858,0.0,0.0,12.866903490732774,9.77328947638555,11.537019918085534,9.710362682293207,0.0,10.642740493551079,10.513877980239096,11.46469999220834,0.0,0.0,9.258189974383853,0.0,0.0,11.01276514040471,0.0,9.310387901185468,0.0,9.860127835550701,10.602140288490478,0.0,0.0,0.0,0.0,11.395101712706666,0.0,0.0,0.0,0.0,0.0,10.903264946742857,9.965065999564434,0.0,0.0,10.106573695445658,10.424493819747912,10.487240747983776,9.905513114724583,10.763308975004435,0.0,0.0,12.626494961246028,7.8378829148020905,9.278898924474229,11.31497363327421,11.265215033026275,0.0,11.254009234065894,0.0,10.582930504086157,0.0,10.361268633050772,0.0
-,,ENSG00000104043,protein_coding,ATP8B4,10.601344847263823,8.041353774973034,10.784882275960188,0.0,10.458381384238196,9.406637755618576,10.011012074761455,9.357167623665365,10.696196355746387,8.75314262448471,9.478265472254776,10.118939631326576,0.0,9.86760138767406,9.103875838047209,7.739430102538226,10.098098387907756,9.642204435311594,10.6950299340733,9.53429103233964,10.228734753707451,10.477125416373012,10.06070688594516,10.442528399163894,10.630554068776448,0.0,10.142361369970775,0.0,8.799924482775827,8.88228750265764,0.0,10.04987043168767,0.0,10.425120901973164,10.466148135027357,0.0,9.684209808961352,6.997520553397101,8.36751220118155,9.6379941104508,10.187412135191957,9.294527126085054,10.474265637860873,11.41568041194659,0.0,9.963052677676812,7.6650445225081825,0.0,0.0,0.0,0.0,10.488478523748565,11.80532727764415,9.69437549898563,0.0,9.214610084023306,9.647635873465564,0.0,0.0,0.0,11.193832445113491,10.752365165626895,0.0,11.154124643933624,0.0,9.054089472643373,10.119085219702784,0.0,9.850591598315226,8.848035717729887,9.468550211050443,10.089495644777738,8.94805795329462,10.18797203344319
-,hsa_circ_0004771,ENSG00000180530,protein_coding,NRIP1,12.235430653004782,11.910710947278123,12.886616569666142,13.16771110809121,13.212395143595991,12.787184278939694,12.631329009642572,13.463618300006035,13.097589579888632,12.676015017789492,12.86875166783908,12.724512410638795,12.96190990311458,12.416517265831413,12.05578665035004,12.125303545310302,12.503022437327422,12.132572298879344,11.753471016206275,14.465508306424974,12.05099420277179,10.585576526975638,14.824939880185608,9.635950805477076,13.411135904927642,13.384339509980196,11.982743065587313,13.256695085703162,14.477232283952578,13.894272043098615,10.935932581711599,12.893047580968114,12.34357246243289,12.18991477447687,12.886782160717113,11.235057810370835,13.267563923234862,11.844559038291234,12.063914090692428,13.37328382365574,13.301794445729689,12.92468163670443,12.56463717435119,12.241420798411289,15.269399598246544,12.906652863789484,12.797672636157282,12.128835950618807,11.691213586417588,13.985697344201848,10.413318250555378,13.294972430852713,11.870897703434903,12.932283654701957,15.074545285155738,15.849864100518193,13.815861148666938,12.14366647523087,11.226538381441935,13.481423098094291,11.117916882238339,13.217997993478884,11.626723093387785,12.416789714458238,12.641372855785132,12.284322843877318,15.357590730622977,13.862199041221132,14.506461123763339,12.880716763897627,12.091333917605358,12.590905105239175,12.930211888834762,13.31615920838787
-,hsa_circ_0000607,ENSG00000129003,protein_coding,VPS13C,10.523393925969046,9.774480869442508,10.157297010274467,10.646917250120074,9.196781807222385,8.600876200610644,10.397706179453555,10.056761010431641,10.004853664559809,9.237613817116257,9.478265472254776,9.245551265938126,8.211716124831712,10.38171119731179,10.56163793734888,10.055947190386533,9.584089219288122,9.22776862210547,10.280282492769503,8.023326710610668,10.528069583735807,11.106124160732769,9.739116458487766,9.957516199244786,9.953028082365824,10.709501363859369,8.559949605502814,9.451255154747416,7.994995217913961,0.0,9.352442187401376,8.592818620880696,9.716978895014744,8.107383920875295,9.245114916149518,9.08184574998819,9.32214067850893,8.213446824398897,9.686816993320386,9.05393668142661,9.60306812751051,9.557178575399238,8.65371551142691,0.0,9.734117078783813,10.225846158522325,9.98127473421228,10.785377048839692,9.955265627568151,0.0,10.287883539936265,8.322064009965004,8.704050958707887,8.847770970328824,9.727478137454359,9.991205520336067,9.425543196051903,8.375109912208043,10.075270968385075,9.986294155709777,8.496776089614643,10.205263328197175,0.0,7.8378829148020905,9.656874496593318,9.900879618579484,8.898421439660588,10.032080318956918,10.155148508866843,10.523953615110813,9.205923021946484,9.505195061888012,9.821198704648413,9.773346732338474
-,hsa_circ_0004524,ENSG00000114107,protein_coding,CEP70,11.996697646095303,0.0,0.0,12.199922200821996,10.573779723537186,11.597621202802374,11.438976256789681,11.878911194722479,11.975792679486556,11.51582264279966,10.64706631140882,10.746512879283898,10.377851228361259,0.0,0.0,0.0,10.94551016822308,10.728711141438097,11.279702318490695,0.0,11.571960294590381,0.0,0.0,11.482637527872448,11.089737474242916,0.0,0.0,0.0,0.0,0.0,11.243913249187317,0.0,0.0,10.803390358322252,11.358762139442362,9.708937010481597,10.513517392204188,11.909392939031772,10.823365404903411,12.13900250578958,10.923882743945915,0.0,11.594012121307395,9.95717266423253,12.054689337044826,10.962329781977495,10.51688461515929,11.406579295422327,12.013054422011294,0.0,0.0,0.0,10.187252204234174,11.108324267232058,10.427263163606634,0.0,11.968124329993683,0.0,10.364534426958897,11.425968153451604,11.037783627620001,12.058528164399434,0.0,11.080157381326535,11.736429098738066,0.0,0.0,12.68492501770313,0.0,0.0,0.0,12.410364039049025,10.361268633050772,12.231428900547536
-,hsa_circ_0046760,ENSG00000154655,protein_coding,L3MBTL4,9.676180971096034,9.452964531219331,9.868071110068788,9.60057097439237,10.458381384238196,9.768735388095536,8.313714811590348,9.526848180369967,9.112971923812054,9.237613817116257,10.062553580723437,9.659994451518966,10.01559090186227,0.0,10.687089270301014,10.540986739361909,7.78142577736851,9.811928818952879,0.0,9.735671089446226,8.117259699363636,10.606321674867056,10.908103299636336,10.06844002712126,10.090399281156163,0.0,8.559949605502814,0.0,9.990747637649795,8.88228750265764,9.544811359786497,9.176535045199161,11.114463865954281,9.688854672833896,8.24749044349602,0.0,8.516475176044016,9.987607436475933,9.365326446944627,10.511639942910083,10.187412135191957,8.973173275443324,9.651923312036079,0.0,10.248181962188193,9.811210178541504,9.467313126365712,9.408172727003318,8.956718148253062,11.483611961967231,10.413318250555378,0.0,0.0,9.524668145191097,0.0,10.31285008807203,0.0,0.0,0.0,9.180005587164787,0.0,9.675291636604863,10.627179249476793,0.0,10.655980635183651,10.978087658273209,10.21853440679444,0.0,10.222205193025685,8.526890101703579,0.0,9.505195061888012,9.821198704648413,0.0
+,hsa_circ_0004058,ENSG00000188994,protein_coding,ZNF292,10.523393925969046,9.26061349324636,10.157297010274467,10.336793058931795,11.043002048617723,10.298741142733059,9.481118632643327,10.056761010431641,9.474962879560737,9.429960129402643,10.062553580723437,8.661776658639877,8.795055602527105,8.647266559637972,9.103875838047209,9.734357878659935,10.58314908973919,9.449817253556574,9.433213380038787,10.381422941854751,8.852145554354694,10.359854238735357,9.739116458487766,10.442528399163894,10.090399281156163,11.183191290852621,8.559949605502814,7.649043379231804,10.74505734224968,8.88228750265764,9.714521731532109,11.049189764935882,9.579646785396731,10.273234392911961,9.467167656903257,9.20715475179369,9.684209808961352,9.795165349411576,9.365326446944627,10.752495999865436,11.186793376886412,10.141502589269988,11.795585108496459,8.5445520267672,11.095651564563234,10.547533288181063,10.788017831931572,10.085448136315133,10.954538818452379,0.0,8.416488528826296,9.90401804454798,9.839666330922977,10.84542055251155,9.050426958968748,10.653648202974964,10.161669350246775,8.78906068862179,10.904760797156655,9.764138769944607,7.913809125417768,9.675291636604863,11.626723093387785,10.919771103360844,10.479219495130378,10.052731795948274,12.241467762143207,8.946166782098738,11.828051348056535,10.331448505478875,9.468550211050443,9.505195061888012,10.168780230311016,9.189208274821361
