circRNA_ID,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
hsa_circ_0001009,30,12,31,16,26,33,36,19,23,5,18,27,38,7,10,3,24,50,33,11,74,20,27,28,9,31,4,6,22,31,22,18,16,30,9,24,13,43,28,7,10,21,7,20,4,19,13,14,20,27,36,102,42,35,11,20,15,9,16,13,30,13,30,12,30,21
hsa_circ_0004771,95,31,141,45,42,429,138,37,359,6,43,80,103,20,325,26,105,697,80,73,69,41,108,73,41,68,39,25,53,77,75,62,70,81,115,110,33,529,46,20,326,49,17,196,12,44,97,20,79,242,178,611,87,82,126,21,98,26,45,68,85,47,51,48,79,37
hsa_circ_0001181,20,16,22,20,19,55,21,21,25,2,18,17,26,62,14,9,19,13,23,13,66,19,35,20,23,19,25,27,17,25,25,11,20,8,14,13,9,43,17,10,20,52,2,118,18,17,16,24,14,48,39,25,28,35,26,23,20,18,26,36,11,14,11,28,21,32
hsa_circ_0001360,28,18,42,21,22,36,16,13,30,2,24,4,30,33,18,6,22,12,14,14,30,18,9,15,12,23,2,11,17,25,20,20,18,12,20,21,13,11,24,15,21,28,4,30,11,25,11,13,14,27,49,26,56,21,3,15,13,28,14,12,16,25,20,18,18,29
hsa_circ_0006156,70,27,65,86,80,16,49,87,235,11,85,9,143,381,13,27,81,14,85,100,118,61,64,48,65,232,34,44,87,63,56,66,50,27,60,135,61,57,51,61,71,443,6,92,112,79,51,59,16,55,92,43,67,75,47,107,66,41,157,133,89,126,63,48,48,141
hsa_circ_0001380,85,42,96,31,32,67,88,48,10,12,18,61,55,49,79,10,51,123,42,20,131,37,46,30,30,26,17,75,24,52,80,26,19,44,41,14,3,51,56,63,72,54,23,71,28,16,18,41,28,111,42,111,45,49,29,26,39,21,53,27,31,32,8,52,43,26
hsa_circ_0001423,42,19,120,26,17,59,56,27,53,12,36,16,56,59,46,5,26,19,71,21,68,15,36,36,11,55,39,16,36,30,24,18,26,25,52,35,29,31,41,22,49,73,3,109,29,34,14,14,33,40,47,29,59,49,23,50,34,10,25,43,42,38,30,27,58,44
hsa_circ_0002782,20,13,8,22,5,40,16,7,31,3,30,3,20,61,3,6,21,19,16,7,94,12,29,19,11,26,12,16,16,21,15,9,7,10,21,17,11,18,17,6,19,37,10,99,24,14,16,13,18,50,53,54,31,17,30,15,18,20,22,18,20,8,23,20,22,34
hsa_circ_0001432,26,28,30,20,30,50,23,20,28,9,31,19,29,50,14,11,27,45,35,42,223,22,28,32,57,34,17,35,15,27,18,10,13,17,9,23,17,30,26,22,29,68,4,130,8,34,10,26,13,66,88,89,72,27,28,28,36,8,41,64,16,41,8,23,18,76
hsa_circ_0001439,57,20,69,51,53,102,47,30,40,5,40,31,42,48,20,9,61,36,40,35,75,19,35,48,22,37,17,45,28,52,40,24,13,49,37,21,15,52,44,30,31,57,4,116,23,44,21,25,45,40,61,51,82,70,33,54,36,26,35,25,29,21,9,41,52,62
hsa_circ_0001445,106,87,205,128,96,177,162,92,120,30,136,140,137,270,90,46,131,121,159,72,419,71,106,139,124,172,96,89,88,127,145,77,75,145,114,124,89,113,175,108,94,232,16,358,99,81,69,62,60,220,227,229,290,175,112,144,123,49,137,132,86,66,89,112,131,238
hsa_circ_0001460,43,10,70,22,20,11,48,10,45,3,41,11,19,15,13,6,16,2,37,16,50,29,33,31,17,21,21,39,36,20,44,19,17,23,20,18,18,24,26,26,21,66,3,41,7,10,22,13,10,19,16,9,17,26,26,16,30,14,49,35,14,14,17,9,35,46
hsa_circ_0001535,107,76,189,74,76,142,99,19,129,10,44,26,123,231,50,31,84,146,106,66,353,38,116,48,44,127,26,20,35,85,88,68,46,62,89,69,36,80,111,84,40,88,8,245,98,64,33,54,39,79,107,292,193,84,36,89,43,39,53,99,75,58,62,31,71,72
hsa_circ_0001550,37,28,19,25,44,46,45,18,21,23,36,45,69,144,27,6,44,61,28,33,82,26,23,34,43,53,20,12,24,23,43,17,45,44,26,40,25,18,39,22,59,72,4,47,21,33,14,10,21,44,72,72,66,28,26,48,28,27,77,35,36,22,36,15,41,72
hsa_circ_0008285,101,63,257,126,85,200,104,64,201,54,96,94,242,212,128,25,75,74,97,126,294,61,152,71,45,207,45,30,119,77,104,65,96,74,78,73,95,190,111,96,104,248,13,430,76,145,100,117,53,107,173,228,225,128,61,64,98,57,75,113,148,90,82,91,192,121
hsa_circ_0001700,20,11,26,15,13,22,13,14,27,2,10,6,27,22,14,3,19,21,15,20,45,6,16,19,9,19,6,11,15,20,10,7,4,16,17,15,16,19,14,7,12,32,4,44,10,19,5,6,5,9,45,13,36,13,10,14,15,9,11,19,19,8,7,10,22,30
hsa_circ_0001727,83,29,83,49,32,92,70,23,89,4,55,35,93,76,53,23,62,56,72,49,158,24,53,56,45,80,25,22,60,55,53,39,41,54,71,92,47,61,34,42,48,120,13,161,38,77,44,36,46,108,97,113,173,71,36,52,56,39,91,47,48,39,58,13,56,166
hsa_circ_0001741,26,18,35,16,29,36,14,8,41,3,46,3,39,60,32,2,16,35,41,26,63,26,25,24,14,38,3,19,29,27,17,24,17,20,20,31,17,32,17,10,9,61,4,63,20,26,11,15,17,56,61,50,44,21,21,20,29,9,29,22,14,18,18,11,31,52
hsa_circ_0001769,6,3,18,5,10,24,7,2,16,2,9,4,10,31,5,2,10,14,7,12,43,9,8,4,11,8,8,13,9,8,6,7,3,6,13,13,6,5,9,12,3,21,3,37,11,3,4,2,7,17,13,23,22,10,6,8,3,6,9,11,4,7,3,8,14,20
hsa_circ_0001777,35,41,68,25,26,80,42,34,19,7,28,35,72,78,30,18,30,42,50,37,164,16,28,45,49,75,63,40,21,39,36,21,6,22,29,30,19,79,51,70,49,94,2,158,28,29,16,30,24,56,41,76,92,29,28,47,33,8,47,53,29,25,23,26,29,62
hsa_circ_0001785,13,4,13,9,5,35,10,7,14,3,4,15,10,13,6,3,6,12,8,8,28,10,15,9,7,11,5,4,9,10,6,3,7,4,12,11,6,23,9,7,19,4,2,42,3,13,4,8,11,17,16,28,25,12,10,14,9,13,13,14,11,2,10,11,12,19
hsa_circ_0001801,44,32,71,42,44,128,52,45,66,14,47,63,60,84,33,25,56,73,33,45,111,10,68,55,42,73,17,29,32,48,48,34,38,40,33,39,36,144,85,59,44,77,11,237,28,37,29,48,32,74,88,119,120,66,56,58,38,27,31,89,46,44,41,36,56,51
hsa_circ_0001861,29,6,42,7,15,9,12,9,15,4,9,13,39,16,12,3,20,14,17,6,41,10,15,11,6,38,18,8,22,9,20,21,20,10,19,5,16,20,25,13,9,41,2,26,16,16,12,15,7,15,6,35,32,21,10,11,11,10,32,7,19,10,17,4,32,8
hsa_circ_0001900,81,75,199,75,64,79,93,78,189,4,144,34,154,169,88,14,80,65,112,83,393,86,88,74,68,135,56,25,98,67,76,53,23,48,80,138,95,58,81,45,71,108,10,115,79,87,101,70,84,180,109,138,109,73,104,84,116,43,89,77,116,54,52,77,85,194
hsa_circ_0001944,98,39,118,39,68,51,51,73,103,23,31,41,80,160,34,8,56,32,65,26,183,48,67,56,14,59,53,38,80,55,57,21,84,33,50,132,44,48,47,18,101,122,8,68,23,59,49,27,31,149,63,54,58,132,60,59,54,56,95,41,96,50,109,24,81,83
